NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_sdc,2025,0.7,yy_sdc_res,pct
yy_sdc,2026,1.3,yy_sdc_res,pct
yy_sdc,2027,2.9,yy_sdc_res,pct
yy_sdc,2028,4.4,yy_sdc_res,pct
yy_sdc,2029,6.09,yy_sdc_res,pct
yy_mss,2025,7,yy_mss_res,pct
yy_mss,2026,2.268686549,yy_mss_res,pct
yy_mss,2027,2.641127087,yy_mss_res,pct
yy_mss,2028,3.078574873,yy_mss_res,pct
yy_mss,2029,3.588238393,yy_mss_res,pct
yy_mst,2025,16.5,yy_mst_res,pct
yy_mst,2026,9.534440195,yy_mst_res,pct
yy_mst,2027,7.317940062,yy_mst_res,pct
yy_mst,2028,6.429976272,yy_mst_res,pct
yy_mst,2029,6.72331586,yy_mst_res,pct
