NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
cpi,2025-Q4,0.3,cpi_res,pct
cpi,2027-Q4,1.8,cpi_res,annual_pct
cpi,2028-Q4,2.1,cpi_res,annual_pct
cpi,2029-Q4,1.9,cpi_res,annual_pct
cpi,2026-Q2,0.5,cpi_res,pct
cpi,2026-Q1,0.6,cpi_res,pct
cpi,2026-Q3,0.4,cpi_res,pct
cpi,2026-Q4,0.3,cpi_res,pct
ppi,2025-Q4,1.07110034,ppi_res,annual_pct
ppi,2026-Q4,1.308395796,ppi_res,annual_pct
ppi,2027-Q4,1.7,ppi_res,annual_pct
ppi,2028-Q4,1.9,ppi_res,annual_pct
ppi,2029-Q4,2.2,ppi_res,annual_pct
pce_r,2028-Q4,1.9,pce_r_res,annual_pct
pce_r,2029-Q4,2.140503446,pce_r_res,annual_pct
pce_r,2025-Q3,0.4,pce_r_res,pct
pce_r,2025-Q4,0.16,pce_r_res,pct
pce_r,2026-Q2,0.4,pce_r_res,pct
pce_r,2026-Q3,0.3,pce_r_res,pct
pce_r,2026-Q4,0.2,pce_r_res,pct
pce_r,2026-Q1,0.2,pce_r_res,pct
pce_r,2027-Q1,0.4,pce_r_res,pct
pce_r,2027-Q2,0.3,pce_r_res,pct
pce_r,2027-Q3,0.7,pce_r_res,pct
pce_r,2027-Q4,0.2,pce_r_res,pct
gce_r,2028-Q4,1.6,gce_r_res,annual_pct
gce_r,2029-Q4,1.8,gce_r_res,annual_pct
gce_r,2025-Q3,0.7,gce_r_res,pct
gce_r,2025-Q4,0.88,gce_r_res,pct
gce_r,2026-Q2,0.5,gce_r_res,pct
gce_r,2026-Q1,0.3,gce_r_res,pct
gce_r,2026-Q3,-0.3,gce_r_res,pct
gce_r,2026-Q4,0.4,gce_r_res,pct
gce_r,2027-Q1,0.3,gce_r_res,pct
gce_r,2027-Q2,0.5,gce_r_res,pct
gce_r,2027-Q3,0.7,gce_r_res,pct
gce_r,2027-Q4,0.3,gce_r_res,pct
gfcf_r,2028-Q4,2.2,gfcf_r_res,annual_pct
gfcf_r,2029-Q4,2.043232652,gfcf_r_res,annual_pct
gfcf_r,2025-Q3,0.7,gfcf_r_res,pct
gfcf_r,2025-Q4,1.5,gfcf_r_res,pct
gfcf_r,2026-Q1,-0.3,gfcf_r_res,pct
gfcf_r,2026-Q2,0.4,gfcf_r_res,pct
gfcf_r,2026-Q3,0.7,gfcf_r_res,pct
gfcf_r,2026-Q4,0.5,gfcf_r_res,pct
gfcf_r,2027-Q1,0.1,gfcf_r_res,pct
gfcf_r,2027-Q2,1.2,gfcf_r_res,pct
gfcf_r,2027-Q3,0.9,gfcf_r_res,pct
gfcf_r,2027-Q4,0.7,gfcf_r_res,pct
stk_r,2025-Q3,1800,stk_r_res,
stk_r,2025-Q4,2000,stk_r_res,
stk_r,2026-Q1,2500,stk_r_res,
stk_r,2026-Q2,1600,stk_r_res,
stk_r,2026-Q3,509.1969598,stk_r_res,
