NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_ca_xg_usd,2025,-0.6,yy_ca_xg_usd_res,pct
yy_ca_xg_usd,2026,1.7,yy_ca_xg_usd_res,pct
yy_ca_xg_usd,2027,3.3,yy_ca_xg_usd_res,pct
yy_ca_xg_usd,2028,3.1,yy_ca_xg_usd_res,pct
yy_ca_xg_usd,2029,3.5,yy_ca_xg_usd_res,pct
yy_ca_xg_usd,2030,3.3,yy_ca_xg_usd_res,pct
yy_ca_mg_usd,2025,-2,yy_ca_mg_usd_res,pct
yy_ca_mg_usd,2026,3.4,yy_ca_mg_usd_res,pct
yy_ca_mg_usd,2027,3.1,yy_ca_mg_usd_res,pct
yy_ca_mg_usd,2028,2.9,yy_ca_mg_usd_res,pct
yy_ca_mg_usd,2029,3.2,yy_ca_mg_usd_res,pct
yy_ca_mg_usd,2030,3.8,yy_ca_mg_usd_res,pct
yy_ca_xs_usd,2025,5.3,yy_ca_xs_usd_res,pct
yy_ca_xs_usd,2026,3.7,yy_ca_xs_usd_res,pct
yy_ca_xs_usd,2027,5.192922913,yy_ca_xs_usd_res,pct
yy_ca_xs_usd,2028,4.250723529,yy_ca_xs_usd_res,pct
yy_ca_xs_usd,2029,4.8,yy_ca_xs_usd_res,pct
yy_ca_xs_usd,2030,6.5,yy_ca_xs_usd_res,pct
yy_ca_ms_usd,2025,8,yy_ca_ms_usd_res,pct
yy_ca_ms_usd,2026,5.9,yy_ca_ms_usd_res,pct
yy_ca_ms_usd,2027,5.465673854,yy_ca_ms_usd_res,pct
yy_ca_ms_usd,2028,6.805011738,yy_ca_ms_usd_res,pct
yy_ca_ms_usd,2029,3.473766707,yy_ca_ms_usd_res,pct
yy_ca_ms_usd,2030,7,yy_ca_ms_usd_res,pct
yy_ca_xi_ratio_gdp,2025,3.92,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2026,2.9,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2027,2.355739404,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2028,2.4260854,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2029,2.5,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2030,2.5,yy_ca_xi_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2025,-1.4418,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2026,-1.1610,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2027,-0.7571,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2028,-1,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2029,-0.9,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2030,-0.9,yy_ca_mi_net_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2025,0.566522953,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2026,0.566522953,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2027,0.566522953,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2028,0.566522953,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2029,0.566522953,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2030,0.6,yy_ca_xi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2025,-0.7804344,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2026,-0.7804344,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2027,-0.7804344,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2028,-0.7804344,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2029,-0.7804344,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2030,-0.8,yy_ca_mi2_ratio_gdp_res,
yy_xg_fob_usd,2025,-0.3,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2026,2,yy_xg_fob_usd_res,pct
