NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_sdc,2025,5.6,yy_sdc_res,pct
yy_sdc,2026,7.1,yy_sdc_res,pct
yy_sdc,2027,7.50,yy_sdc_res,pct
yy_sdc,2028,6.2,yy_sdc_res,pct
yy_sdc,2029,1.6,yy_sdc_res,pct
yy_sdc,2030,1,yy_sdc_res,pct
yy_mss,2025,3.4,yy_mss_res,pct
yy_mss,2026,2.8,yy_mss_res,pct
yy_mss,2027,3,yy_mss_res,pct
yy_mss,2028,2.2,yy_mss_res,pct
yy_mss,2029,1.9,yy_mss_res,pct
yy_mss,2030,1.4,yy_mss_res,pct
yy_mst,2025,6.2,yy_mst_res,pct
yy_mst,2026,5.8,yy_mst_res,pct
yy_mst,2027,4.3,yy_mst_res,pct
yy_mst,2028,3.9,yy_mst_res,pct
yy_mst,2029,2.2,yy_mst_res,pct
yy_mst,2030,1.7,yy_mst_res,pct
