NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_brel_ratio_gdp,2025,18.2,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2026,19.7,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2027,20.2,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2028,20.5,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2029,20.9,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2030,21.3,yy_brel_ratio_gdp_res,
yy_bexl_ratio_gdp,2025,18.1,yy_bexl_ratio_gdp_res,
yy_bexl_ratio_gdp,2026,21.2,yy_bexl_ratio_gdp_res,
yy_bexl_ratio_gdp,2027,22.1,yy_bexl_ratio_gdp_res,
yy_bexl_ratio_gdp,2028,22.8,yy_bexl_ratio_gdp_res,
yy_bexl_ratio_gdp,2029,23,yy_bexl_ratio_gdp_res,
yy_bexl_ratio_gdp,2030,23.3,yy_bexl_ratio_gdp_res,
yy_pudl_reval,2025,8,yy_pudl_reval_res,
yy_pudl_reval,2026,10,yy_pudl_reval_res,
yy_pudl_reval,2027,10,yy_pudl_reval_res,
yy_pudl_reval,2028,10,yy_pudl_reval_res,
yy_pudl_reval,2029,9,yy_pudl_reval_res,
yy_pudl_reval,2021,700,yy_pudl_reval_res,
yy_pudl_reval,2022,60,yy_pudl_reval_res,
yy_pudl_reval,2023,100,yy_pudl_reval_res,
yy_pudl_reval,2024,11,yy_pudl_reval_res,
yy_pudl_reval,2030,8,yy_pudl_reval_res,
