NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_ca_xgs_usd,2025,8.3,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2026,10,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2027,9,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2028,10.1,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2029,10.83557583,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2030,10.5,yy_ca_xgs_usd_res,pct
yy_ca_xg_ratio_ca_xgs,2025,52.77709827,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2026,50.34943462,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2027,49.35863455,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2028,48.25580821,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2029,47.37810914,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2030,47.8,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_mgs_usd,2025,12.54310386,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2026,11.18001019,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2027,10.97839389,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2028,11.47586388,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2029,12.43416586,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2030,12,yy_ca_mgs_usd_res,pct
yy_ca_mg_ratio_ca_mgs,2025,80.0024693,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2026,80.48477285,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2027,80.99959656,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2028,79.0777475,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2029,72.14355074,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2030,72,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_xi_ratio_gdp,2025,0.829748968,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2026,0.829292363,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2027,0.828033177,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2028,0.82031165,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2029,0.790819408,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2030,0.8,yy_ca_xi_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2025,-1.401879865,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2026,-1.491901893,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2027,-1.493700765,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2028,-0.922154855,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2029,-0.474902764,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2030,-0.7,yy_ca_mi_net_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2025,7.3,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2026,6.85,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2027,6.54,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2028,6.05,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2029,5.65,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2030,6,yy_ca_xi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2025,-0.524465011,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2026,-0.550504896,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2027,-0.557268128,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2028,-0.548019622,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2029,-0.525354431,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2030,-0.5,yy_ca_mi2_ratio_gdp_res,
yy_xg_fob_usd,2025,3.005893427,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2026,5.060540264,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2027,6.741781831,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2028,7.435592453,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2029,8.819646839,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2030,8.5,yy_xg_fob_usd_res,pct
yy_mg_cif_usd,2025,10.26472136,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2026,11.85027093,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2027,11.68827112,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2028,8.8309151,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2029,2.575,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2030,3,yy_mg_cif_usd_res,pct
yy_xgpd1_ratio_xg_fob,2025,46.3,yy_xgpd1_ratio_xg_fob_res,
yy_xgpd1_ratio_xg_fob,2026,47.1,yy_xgpd1_ratio_xg_fob_res,
yy_xgpd1_ratio_xg_fob,2027,47.1,yy_xgpd1_ratio_xg_fob_res,
yy_xgpd1_ratio_xg_fob,2028,47.1,yy_xgpd1_ratio_xg_fob_res,
yy_xgpd1_ratio_xg_fob,2029,47.1,yy_xgpd1_ratio_xg_fob_res,
yy_xgpd1_ratio_xg_fob,2030,47.1,yy_xgpd1_ratio_xg_fob_res,
yy_xgpd2_ratio_xg_fob,2025,13.7,yy_xgpd2_ratio_xg_fob_res,
yy_xgpd2_ratio_xg_fob,2026,13.5,yy_xgpd2_ratio_xg_fob_res,
yy_xgpd2_ratio_xg_fob,2027,13.5,yy_xgpd2_ratio_xg_fob_res,
yy_xgpd2_ratio_xg_fob,2028,13.5,yy_xgpd2_ratio_xg_fob_res,
yy_xgpd2_ratio_xg_fob,2029,13.5,yy_xgpd2_ratio_xg_fob_res,
yy_xgpd2_ratio_xg_fob,2030,13.5,yy_xgpd2_ratio_xg_fob_res,
yy_xgpd3_ratio_xg_fob,2025,7.3,yy_xgpd3_ratio_xg_fob_res,
yy_xgpd3_ratio_xg_fob,2026,7,yy_xgpd3_ratio_xg_fob_res,
yy_xgpd3_ratio_xg_fob,2027,7,yy_xgpd3_ratio_xg_fob_res,
yy_xgpd3_ratio_xg_fob,2028,7,yy_xgpd3_ratio_xg_fob_res,
yy_xgpd3_ratio_xg_fob,2029,7,yy_xgpd3_ratio_xg_fob_res,
yy_xgpd3_ratio_xg_fob,2030,7,yy_xgpd3_ratio_xg_fob_res,
yy_xgpd4_ratio_xg_fob,2025,3.5,yy_xgpd4_ratio_xg_fob_res,
yy_xgpd4_ratio_xg_fob,2026,3.6,yy_xgpd4_ratio_xg_fob_res,
yy_xgpd4_ratio_xg_fob,2027,3.6,yy_xgpd4_ratio_xg_fob_res,
yy_xgpd4_ratio_xg_fob,2028,3.6,yy_xgpd4_ratio_xg_fob_res,
yy_xgpd4_ratio_xg_fob,2029,3.6,yy_xgpd4_ratio_xg_fob_res,
yy_xgpd4_ratio_xg_fob,2030,3.6,yy_xgpd4_ratio_xg_fob_res,
yy_mgpd1_ratio_mg_cif,2025,12,yy_mgpd1_ratio_mg_cif_res,
yy_mgpd1_ratio_mg_cif,2026,11.6,yy_mgpd1_ratio_mg_cif_res,
yy_mgpd1_ratio_mg_cif,2027,12.6,yy_mgpd1_ratio_mg_cif_res,
yy_mgpd1_ratio_mg_cif,2028,12.6,yy_mgpd1_ratio_mg_cif_res,
yy_mgpd1_ratio_mg_cif,2029,12.6,yy_mgpd1_ratio_mg_cif_res,
yy_mgpd1_ratio_mg_cif,2030,12.6,yy_mgpd1_ratio_mg_cif_res,
yy_mgpd2_ratio_mg_cif,2025,14.2,yy_mgpd2_ratio_mg_cif_res,
yy_mgpd2_ratio_mg_cif,2026,14,yy_mgpd2_ratio_mg_cif_res,
yy_mgpd2_ratio_mg_cif,2027,15,yy_mgpd2_ratio_mg_cif_res,
