NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_brel_ratio_gdp,2025,38.4,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2026,38.7,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2027,38.8,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2028,39.3,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2029,39.3,yy_brel_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2025,41,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2026,41,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2027,41.1,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2028,41.2,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2029,41,yy_bexl_oth_ratio_gdp_res,
yy_efir,2025,1.5,yy_efir_res,
yy_efir,2026,1.1842410039742857,yy_efir_res,
yy_efir,2027,1.0996430846825658,yy_efir_res,
yy_efir,2028,1.0233918545735476,yy_efir_res,
yy_efir,2029,0.929526044229615,yy_efir_res,
yy_pudl_reval,2025,2.220446049250313e-14,yy_pudl_reval_res,
yy_pudl_reval,2026,-2.220446049250313e-14,yy_pudl_reval_res,
yy_pudl_reval,2027,2.220446049250313e-14,yy_pudl_reval_res,
yy_pudl_reval,2028,0.0,yy_pudl_reval_res,
yy_pudl_reval,2029,-3.3306690738754696e-14,yy_pudl_reval_res,
