NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
r10y,2025-Q4,3.01,r10y_res,
r10y,2026-Q4,2.8,r10y_res,
r10y,2027-Q4,2.8,r10y_res,annual
r10y,2028-Q4,2.7,r10y_res,annual
r10y,2029-Q4,2.7,r10y_res,annual
r10y,2025-Q3,2.99,r10y_res,
r10y,2026-Q1,2.92,r10y_res,
r10y,2026-Q2,2.9,r10y_res,
r10y,2026-Q3,2.8,r10y_res,
rl,2025-Q4,1.7,rl_res,
rl,2026-Q4,1.663685212703239,rl_res,annual
rl,2027-Q4,1.568195011731121,rl_res,annual
rl,2028-Q4,1.47287370925763,rl_res,annual
rl,2029-Q4,1.47287370925763,rl_res,annual
rl,2025-Q1,2.39,rl_res,
rl,2025-Q2,2.09,rl_res,
rl,2025-Q3,1.9,rl_res,
rd,2025-Q4,2.1,rd_res,
rd,2026-Q4,1.95,rd_res,annual
rd,2027-Q4,1.85,rd_res,annual
rd,2028-Q4,1.75,rd_res,annual
rd,2029-Q4,1.75,rd_res,annual
rd,2025-Q1,2.6,rd_res,
rd,2025-Q2,2.38,rd_res,
rd,2025-Q3,2.2,rd_res,
