NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_edebt_mlt_bb_usd,2024,0.3,yy_edebt_mlt_bb_usd_res,
yy_edebt_mlt_bb_usd,2025,0.43,yy_edebt_mlt_bb_usd_res,
yy_edebt_mlt_bb_usd,2026,0.55,yy_edebt_mlt_bb_usd_res,
yy_edebt_mlt_bb_usd,2027,0.7,yy_edebt_mlt_bb_usd_res,
yy_edebt_mlt_bb_usd,2028,0.775,yy_edebt_mlt_bb_usd_res,
yy_edebt_mlt_bb_usd,2029,0.775,yy_edebt_mlt_bb_usd_res,
yy_edebt_mlt_rpdb_usd,2024,0.510777321,yy_edebt_mlt_rpdb_usd_res,
yy_edebt_mlt_rpdb_usd,2025,0.515976223,yy_edebt_mlt_rpdb_usd_res,
yy_edebt_mlt_rpdb_usd,2026,0.548423259,yy_edebt_mlt_rpdb_usd_res,
yy_edebt_mlt_rpdb_usd,2027,0.564000152,yy_edebt_mlt_rpdb_usd_res,
yy_edebt_mlt_rpdb_usd,2028,0.585058934,yy_edebt_mlt_rpdb_usd_res,
yy_edebt_mlt_rpdb_usd,2029,0.596133211,yy_edebt_mlt_rpdb_usd_res,
yy_edebt_arr_ppl_mlt_miss_usd,2024,0.32,yy_edebt_arr_ppl_mlt_miss_usd_res,
yy_edebt_arr_ppl_mlt_miss_usd,2025,0.33,yy_edebt_arr_ppl_mlt_miss_usd_res,
yy_edebt_arr_ppl_mlt_miss_usd,2026,0.34,yy_edebt_arr_ppl_mlt_miss_usd_res,
yy_edebt_arr_ppl_mlt_miss_usd,2027,0.34,yy_edebt_arr_ppl_mlt_miss_usd_res,
yy_edebt_arr_ppl_mlt_miss_usd,2028,0.34,yy_edebt_arr_ppl_mlt_miss_usd_res,
yy_edebt_arr_ppl_mlt_miss_usd,2029,0.34,yy_edebt_arr_ppl_mlt_miss_usd_res,
yy_edebt_arr_ppl_mlt_elim_usd,2024,0,yy_edebt_arr_ppl_mlt_elim_usd_res,
yy_edebt_arr_ppl_mlt_elim_usd,2025,0,yy_edebt_arr_ppl_mlt_elim_usd_res,
yy_edebt_arr_ppl_mlt_elim_usd,2026,0,yy_edebt_arr_ppl_mlt_elim_usd_res,
yy_edebt_arr_ppl_mlt_elim_usd,2027,0,yy_edebt_arr_ppl_mlt_elim_usd_res,
yy_edebt_arr_ppl_mlt_elim_usd,2028,0,yy_edebt_arr_ppl_mlt_elim_usd_res,
yy_edebt_arr_ppl_mlt_elim_usd,2029,0,yy_edebt_arr_ppl_mlt_elim_usd_res,
yy_edebt_arr_int_mlt_miss_usd,2024,0,yy_edebt_arr_int_mlt_miss_usd_res,
yy_edebt_arr_int_mlt_miss_usd,2025,0,yy_edebt_arr_int_mlt_miss_usd_res,
yy_edebt_arr_int_mlt_miss_usd,2026,0,yy_edebt_arr_int_mlt_miss_usd_res,
yy_edebt_arr_int_mlt_miss_usd,2027,0,yy_edebt_arr_int_mlt_miss_usd_res,
yy_edebt_arr_int_mlt_miss_usd,2028,0,yy_edebt_arr_int_mlt_miss_usd_res,
yy_edebt_arr_int_mlt_miss_usd,2029,0,yy_edebt_arr_int_mlt_miss_usd_res,
yy_edebt_arr_int_mlt_elim_usd,2024,0,yy_edebt_arr_int_mlt_elim_usd_res,
yy_edebt_arr_int_mlt_elim_usd,2025,0,yy_edebt_arr_int_mlt_elim_usd_res,
yy_edebt_arr_int_mlt_elim_usd,2026,0,yy_edebt_arr_int_mlt_elim_usd_res,
yy_edebt_arr_int_mlt_elim_usd,2027,0,yy_edebt_arr_int_mlt_elim_usd_res,
yy_edebt_arr_int_mlt_elim_usd,2028,0,yy_edebt_arr_int_mlt_elim_usd_res,
yy_edebt_arr_int_mlt_elim_usd,2029,0,yy_edebt_arr_int_mlt_elim_usd_res,
yy_edebt_mlt_reval,2024,0,yy_edebt_mlt_reval_res,
yy_edebt_mlt_reval,2025,-2.22E-14,yy_edebt_mlt_reval_res,
yy_edebt_mlt_reval,2026,0,yy_edebt_mlt_reval_res,
yy_edebt_mlt_reval,2027,-3.33E-14,yy_edebt_mlt_reval_res,
yy_edebt_mlt_reval,2028,0,yy_edebt_mlt_reval_res,
yy_edebt_mlt_reval,2029,2.22E-14,yy_edebt_mlt_reval_res,
yy_edebt_eir,2024,3.594016304,yy_edebt_eir_res,
yy_edebt_eir,2025,3.738231569,yy_edebt_eir_res,
yy_edebt_eir,2026,3.248400904,yy_edebt_eir_res,
yy_edebt_eir,2027,3.367284619,yy_edebt_eir_res,
