NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_r3m,2024,6.4,yy_r3m_res,
yy_r3m,2025,6.5,yy_r3m_res,
yy_r3m,2026,6.5,yy_r3m_res,
yy_r3m,2027,6.5,yy_r3m_res,
yy_r3m,2028,6.5,yy_r3m_res,
yy_r3m,2029,6.5,yy_r3m_res,
yy_rl,2024,8.3,yy_rl_res,
yy_rl,2025,8.5,yy_rl_res,
yy_rl,2026,8.5,yy_rl_res,
yy_rl,2027,8.5,yy_rl_res,
yy_rl,2028,8.5,yy_rl_res,
yy_rl,2029,8.5,yy_rl_res,
yy_rd,2024,5,yy_rd_res,
yy_rd,2025,5,yy_rd_res,
yy_rd,2026,5,yy_rd_res,
yy_rd,2027,5,yy_rd_res,
yy_rd,2028,5,yy_rd_res,
yy_rd,2029,5,yy_rd_res,
