NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_rp,2025,2.21,yy_rp_res,
yy_rp,2026,2.0,yy_rp_res,
yy_rp,2027,2.0,yy_rp_res,
yy_rp,2028,2.0,yy_rp_res,
yy_rp,2029,2.0,yy_rp_res,
yy_rp,2030,2,yy_rp_res,
yy_r3m,2025,2.2375,yy_r3m_res,
yy_r3m,2026,2.1,yy_r3m_res,
yy_r3m,2027,2.0,yy_r3m_res,
yy_r3m,2028,2.0,yy_r3m_res,
yy_r3m,2029,2.0,yy_r3m_res,
yy_r3m,2030,2,yy_r3m_res,
yy_rl,2025,4.7,yy_rl_res,
yy_rl,2026,4.6,yy_rl_res,
yy_rl,2027,4.5,yy_rl_res,
yy_rl,2028,4.5,yy_rl_res,
yy_rl,2029,4.4,yy_rl_res,
yy_rl,2030,4.4,yy_rl_res,
yy_rd,2025,2.58,yy_rd_res,
yy_rd,2026,2.2,yy_rd_res,
yy_rd,2027,2,yy_rd_res,
yy_rd,2028,1.9,yy_rd_res,
yy_rd,2029,1.8,yy_rd_res,
yy_rd,2030,1.8,yy_rd_res,
