NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_cpi,2025,3.1,yy_cpi_res,pct
yy_cpi,2026,1.9,yy_cpi_res,pct
yy_pce_r,2025,3.4,yy_pce_r_res,pct
yy_pce_r,2026,3.5,yy_pce_r_res,pct
yy_gce_r,2025,6.692531523,yy_gce_r_res,pct
yy_gce_r,2026,5.98626104,yy_gce_r_res,pct
yy_gfcf_r,2025,-1.095822736,yy_gfcf_r_res,pct
yy_gfcf_r,2026,2.471384037,yy_gfcf_r_res,pct
yy_stk_r,2025,30,yy_stk_r_res,
yy_stk_r,2026,30,yy_stk_r_res,
yy_xgs_r,2025,3.097041072,yy_xgs_r_res,pct
yy_xgs_r,2026,3.686747454,yy_xgs_r_res,pct
yy_mgs_r,2025,1.5,yy_mgs_r_res,pct
yy_mgs_r,2026,2.1,yy_mgs_r_res,pct
yy_gdp_r,2025,4.4,yy_gdp_r_res,pct
yy_gdp_r,2026,4.2,yy_gdp_r_res,pct
yy_urate,2025,3.1,yy_urate_res,
yy_urate,2026,3.1,yy_urate_res,
yy_xr,2025,580.5,yy_xr_res,
yy_xr,2026,560.65,yy_xr_res,
yy_partrate,2025,72.32194102,yy_partrate_res,
yy_partrate,2026,72.14507367,yy_partrate_res,
