NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_ca_xi_ratio_gdp,2025,2,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2026,2,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2027,2,yy_ca_xi_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2025,-1.4,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2026,-1.5,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2027,-1.5,yy_ca_mi_net_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2025,3.8,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2026,4,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2027,4.2,yy_ca_xi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2025,-0.438090672,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2026,-0.388090672,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2027,-0.4,yy_ca_mi2_ratio_gdp_res,
yy_xg_fob_usd,2022,31.26981948,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2023,-4.316930462,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2024,4.5,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2025,9.5,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2026,5.4,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2027,4.2,yy_xg_fob_usd_res,pct
yy_mg_cif_usd,2022,37.13881,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2023,-10.5873,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2024,0.1,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2025,7.1,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2026,4.2,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2027,4.3,yy_mg_cif_usd_res,pct
yy_xgpd1_ratio_xg_fob,2022,33.77444054,yy_xgpd1_ratio_xg_fob_res,
yy_xgpd1_ratio_xg_fob,2023,38.11647533,yy_xgpd1_ratio_xg_fob_res,
yy_xgpd1_ratio_xg_fob,2024,35.41916507,yy_xgpd1_ratio_xg_fob_res,
yy_xgpd1_ratio_xg_fob,2025,38.33585166,yy_xgpd1_ratio_xg_fob_res,
yy_xgpd1_ratio_xg_fob,2026,41.45932484,yy_xgpd1_ratio_xg_fob_res,
yy_xgpd1_ratio_xg_fob,2027,41.9,yy_xgpd1_ratio_xg_fob_res,
yy_xgpd2_ratio_xg_fob,2022,26.56234848,yy_xgpd2_ratio_xg_fob_res,
yy_xgpd2_ratio_xg_fob,2023,21.49079063,yy_xgpd2_ratio_xg_fob_res,
yy_xgpd2_ratio_xg_fob,2024,19.31954458,yy_xgpd2_ratio_xg_fob_res,
yy_xgpd2_ratio_xg_fob,2025,21.90620095,yy_xgpd2_ratio_xg_fob_res,
yy_xgpd2_ratio_xg_fob,2026,21.82069728,yy_xgpd2_ratio_xg_fob_res,
yy_xgpd2_ratio_xg_fob,2027,21.6,yy_xgpd2_ratio_xg_fob_res,
yy_xgpd3_ratio_xg_fob,2022,3.364370989,yy_xgpd3_ratio_xg_fob_res,
yy_xgpd3_ratio_xg_fob,2023,3.69966338,yy_xgpd3_ratio_xg_fob_res,
yy_xgpd3_ratio_xg_fob,2024,2.962330171,yy_xgpd3_ratio_xg_fob_res,
yy_xgpd3_ratio_xg_fob,2025,3.217473265,yy_xgpd3_ratio_xg_fob_res,
yy_xgpd3_ratio_xg_fob,2026,3.382208079,yy_xgpd3_ratio_xg_fob_res,
yy_xgpd3_ratio_xg_fob,2027,3.4,yy_xgpd3_ratio_xg_fob_res,
yy_mgpd1_ratio_mg_cif,2022,33.96301081,yy_mgpd1_ratio_mg_cif_res,
yy_mgpd1_ratio_mg_cif,2023,32.53283969,yy_mgpd1_ratio_mg_cif_res,
yy_mgpd1_ratio_mg_cif,2024,29.85705873,yy_mgpd1_ratio_mg_cif_res,
