NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_cpi,2025,4,yy_cpi_res,pct
yy_cpi,2026,3.286629934078189,yy_cpi_res,pct
yy_cpi,2027,3.412627855479519,yy_cpi_res,pct
yy_cpi,2028,3.467624706718702,yy_cpi_res,pct
yy_cpi,2029,3.510155936877216,yy_cpi_res,pct
yy_pce_r,2025,3,yy_pce_r_res,pct
yy_pce_r,2026,3.74,yy_pce_r_res,pct
yy_pce_r,2027,3.5,yy_pce_r_res,pct
yy_pce_r,2028,3.05,yy_pce_r_res,pct
yy_pce_r,2029,2.8,yy_pce_r_res,pct
yy_gce_r,2025,5.1,yy_gce_r_res,pct
yy_gce_r,2026,4.7,yy_gce_r_res,pct
yy_gce_r,2027,2.3,yy_gce_r_res,pct
yy_gce_r,2028,2,yy_gce_r_res,pct
yy_gce_r,2029,0.7,yy_gce_r_res,pct
yy_gfcf_r,2025,5.9,yy_gfcf_r_res,pct
yy_gfcf_r,2026,6.2,yy_gfcf_r_res,pct
yy_gfcf_r,2027,6.4,yy_gfcf_r_res,pct
yy_gfcf_r,2028,6.7,yy_gfcf_r_res,pct
yy_gfcf_r,2029,7,yy_gfcf_r_res,pct
yy_stk_r,2025,33,yy_stk_r_res,
yy_stk_r,2026,28,yy_stk_r_res,
yy_stk_r,2027,25.5,yy_stk_r_res,
yy_stk_r,2028,23.03991475,yy_stk_r_res,
yy_stk_r,2029,24.19191048960001,yy_stk_r_res,
yy_gdp_r,2025,3.4,yy_gdp_r_res,pct
yy_gdp_r,2026,3.101986297865023,yy_gdp_r_res,pct
yy_gdp_r,2027,3.2,yy_gdp_r_res,pct
yy_gdp_r,2028,3.181155672722347,yy_gdp_r_res,pct
yy_gdp_r,2029,3.512249612935503,yy_gdp_r_res,pct
yy_partrate,2025,70.92861224,yy_partrate_res,
yy_partrate,2026,72.55541162,yy_partrate_res,
yy_partrate,2027,74.28543253,yy_partrate_res,
yy_partrate,2028,76.10853956,yy_partrate_res,
yy_partrate,2029,78.01159079,yy_partrate_res,
yy_urate,2025,6.02112,yy_urate_res,
yy_urate,2026,5.8404864,yy_urate_res,
yy_urate,2027,5.752879104,yy_urate_res,
yy_urate,2028,5.666585917,yy_urate_res,
yy_urate,2029,5.581587129,yy_urate_res,
yy_xr,2025,45.9,yy_xr_res,
yy_xr,2026,46.12,yy_xr_res,
yy_xr,2027,46.44,yy_xr_res,
yy_xr,2028,46.85,yy_xr_res,
yy_xr,2029,47.5,yy_xr_res,
yy_xgs_r,2025,1.7,yy_xgs_r_res,pct
yy_xgs_r,2026,1.9,yy_xgs_r_res,pct
yy_xgs_r,2027,1.5,yy_xgs_r_res,pct
yy_xgs_r,2028,1.9,yy_xgs_r_res,pct
yy_xgs_r,2029,1.7,yy_xgs_r_res,pct
yy_mgs_r,2025,2.4,yy_mgs_r_res,pct
yy_mgs_r,2026,2.4,yy_mgs_r_res,pct
yy_mgs_r,2027,2,yy_mgs_r_res,pct
yy_mgs_r,2028,2,yy_mgs_r_res,pct
yy_mgs_r,2029,1.8,yy_mgs_r_res,pct
yy_xg_r,2025,1.2,yy_xg_r_res,pct
yy_xg_r,2026,1.9,yy_xg_r_res,pct
yy_xg_r,2027,1.5,yy_xg_r_res,pct
yy_xg_r,2028,1.9,yy_xg_r_res,pct
yy_xg_r,2029,1.7,yy_xg_r_res,pct
yy_mg_r,2025,5.3,yy_mg_r_res,pct
yy_mg_r,2026,2.8,yy_mg_r_res,pct
yy_mg_r,2027,2.2,yy_mg_r_res,pct
yy_mg_r,2028,2,yy_mg_r_res,pct
yy_mg_r,2029,1.8,yy_mg_r_res,pct
yy_xs_r,2025,2.5,yy_xs_r_res,pct
yy_xs_r,2026,3.287971125,yy_xg_r_res,pct
yy_xs_r,2027,3.668426088,yy_xg_r_res,pct
yy_xs_r,2028,3.2,yy_xs_r_res,pct
yy_xs_r,2029,3.389182488,yy_xg_r_res,pct
yy_ms_r,2025,5.2,yy_ms_r_res,pct
yy_ms_r,2026,2.320630394,yy_mg_r_res,pct
yy_ms_r,2027,1.8,yy_ms_r_res,pct
yy_ms_r,2028,1.8,yy_ms_r_res,pct
yy_ms_r,2029,0.9,yy_ms_r_res,pct
