NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_xr_e,2025,46.0033,yy_xr_e_res,
yy_xr_e,2026,46.12,yy_xr_e_res,
yy_xr_e,2027,46.45,yy_xr_e_res,
yy_xr_e,2028,47.01,yy_xr_e_res,
yy_xr_e,2029,47.577,yy_xr_e_res,
yy_rp_e,2025,4.25,yy_rp_e_res,
yy_rp_e,2026,3.75,yy_rp_e_res,
yy_rp_e,2027,3.75,yy_rp_e_res,
yy_rp_e,2028,4,yy_rp_e_res,
yy_rp_e,2029,4,yy_rp_e_res,
yy_r3m_e,2025,2.87625,yy_r3m_e_res,
yy_r3m_e,2026,2.55,yy_r3m_e_res,
yy_r3m_e,2027,2.2,yy_r3m_e_res,
yy_r3m_e,2028,2,yy_r3m_e_res,
yy_r3m_e,2029,2.9,yy_r3m_e_res,
yy_cpi_e,2025,5.039669719176354,yy_cpi_e_res,pct
yy_cpi_e,2026,3.731494480611642,yy_cpi_e_res,pct
yy_cpi_e,2027,3.659689112,yy_cpi_e_res,pct
yy_cpi_e,2028,2.835771378947227,yy_cpi_e_res,pct
yy_cpi_e,2029,3.658581917274595,yy_cpi_e_res,pct
