NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_gdp,2025,7.646453637,yy_gdp_res,pct
yy_gdp,2026,7.26949923,yy_gdp_res,pct
yy_gdp,2027,7.034244532,yy_gdp_res,pct
yy_gdp,2028,7.398310804,yy_gdp_res,pct
yy_gdp,2029,7.538525196,yy_gdp_res,pct
yy_pce_p,2025,3.1,yy_pce_p_res,pct
yy_pce_p,2026,2.9,yy_pce_p_res,pct
yy_pce_p,2027,3.2,yy_pce_p_res,pct
yy_pce_p,2028,3.3,yy_pce_p_res,pct
yy_pce_p,2029,3.4,yy_pce_p_res,pct
yy_gce_p,2025,4.3,yy_gce_p_res,pct
yy_gce_p,2026,3.286629934,yy_gce_p_res,pct
yy_gce_p,2027,3.412627855,yy_gce_p_res,pct
yy_gce_p,2028,3.467624707,yy_gce_p_res,pct
yy_gce_p,2029,3.510155937,yy_gce_p_res,pct
yy_gfcf_p,2025,1,yy_gfcf_p_res,pct
yy_gfcf_p,2026,2.1,yy_gfcf_p_res,pct
yy_gfcf_p,2027,2.5,yy_gfcf_p_res,pct
yy_gfcf_p,2028,3.467624707,yy_gfcf_p_res,pct
yy_gfcf_p,2029,3.510155937,yy_gfcf_p_res,pct
yy_stk,2025,2,yy_stk_res,
yy_stk,2026,1.5,yy_stk_res,
yy_stk,2027,1.5,yy_stk_res,
yy_stk,2028,1.5,yy_stk_res,
yy_stk,2029,1.5,yy_stk_res,
yy_xgs,2025,-0.7,yy_xgs_res,pct
yy_xgs,2026,0.7,yy_xgs_res,pct
yy_xgs,2027,1.1,yy_xgs_res,pct
yy_xgs,2028,1,yy_xgs_res,pct
yy_xgs,2029,1.3,yy_xgs_res,pct
yy_mgs,2025,3.2,yy_mgs_res,pct
yy_mgs,2026,1.8,yy_mgs_res,pct
yy_mgs,2027,2.2,yy_mgs_res,pct
yy_mgs,2028,1.8,yy_mgs_res,pct
yy_mgs,2029,1.6,yy_mgs_res,pct
