NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
rp,2025-Q4,7.25,rp_res,
rp,2026-Q1,6.75,rp_res,
rp,2026-Q2,6.5,rp_res,
rp,2026-Q3,6.5,rp_res,
rp,2026-Q4,6.5,rp_res,
rp,2027-Q1,6.5,rp_res,
rp,2027-Q2,6.5,rp_res,
rp,2027-Q3,6.5,rp_res,
rp,2027-Q4,6.5,rp_res,
rp,2028-Q4,6.500000002,rp_res,annual
rp,2029-Q4,6.500000002,rp_res,annual
rp,2030-Q4,6.500000002,rp_res,annual
r3m,2025-Q3,8.11,r3m_res,
r3m,2025-Q4,7.61,r3m_res,
r3m,2026-Q1,7.09,r3m_res,
r3m,2026-Q2,6.83,r3m_res,
r3m,2026-Q3,6.83,r3m_res,
r3m,2026-Q4,6.83,r3m_res,
r3m,2027-Q1,6.8,r3m_res,
r3m,2027-Q2,6.8,r3m_res,
r3m,2027-Q3,6.78,r3m_res,
r3m,2027-Q4,6.83,r3m_res,
r3m,2028-Q4,6.789999998,r3m_res,annual
r3m,2029-Q4,6.757499998,r3m_res,annual
r3m,2030-Q4,6.799999998,r3m_res,annual
r10y,2025-Q4,8.41,r10y_res,
r10y,2026-Q1,8.29,r10y_res,
r10y,2026-Q2,8.13,r10y_res,
r10y,2026-Q3,7.93,r10y_res,
r10y,2026-Q4,7.93,r10y_res,
r10y,2027-Q1,7.9,r10y_res,
r10y,2027-Q2,7.9,r10y_res,
r10y,2027-Q3,7.88,r10y_res,
r10y,2027-Q4,7.93,r10y_res,
r10y,2028-Q4,7.89,r10y_res,annual
r10y,2029-Q4,7.8575,r10y_res,annual
r10y,2030-Q4,7.9,r10y_res,annual
rl,2025-Q3,8.27,rl_res,
rl,2025-Q4,7.77,rl_res,
rl,2026-Q1,7.18,rl_res,
rl,2026-Q2,6.92,rl_res,
rl,2026-Q3,6.92,rl_res,
rl,2026-Q4,6.93,rl_res,
rl,2027-Q1,6.89,rl_res,
rl,2027-Q2,6.89,rl_res,
rl,2027-Q3,6.87,rl_res,
rl,2027-Q4,6.93,rl_res,
rl,2028-Q4,6.879999998,rl_res,annual
rl,2029-Q4,6.847499998,rl_res,annual
rl,2030-Q4,6.899999998,rl_res,annual
rd,2025-Q3,2.46,rd_res,
rd,2025-Q4,2.1,rd_res,
rd,2026-Q1,1.71,rd_res,
rd,2026-Q2,1.55,rd_res,
rd,2026-Q3,1.53,rd_res,
rd,2026-Q4,1.53,rd_res,
rd,2027-Q1,1.5,rd_res,
rd,2027-Q2,1.5,rd_res,
rd,2027-Q3,1.48,rd_res,
rd,2027-Q4,1.53,rd_res,
rd,2028-Q4,1.49,rd_res,annual
rd,2029-Q4,1.4575,rd_res,annual
rd,2030-Q4,1.5,rd_res,annual
