NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_sdc,2025,8.439886328,yy_sdc_res,pct
yy_sdc,2026,8.68214809,yy_sdc_res,pct
yy_sdc,2027,7.860743774,yy_sdc_res,pct
yy_sdc,2028,8.34035291,yy_sdc_res,pct
yy_sdc,2029,7.953402503,yy_sdc_res,pct
yy_sdc,2030,8.118614627,yy_sdc_res,pct
yy_mss,2025,8.806338839,yy_mss_res,pct
yy_mss,2026,9.68214809,yy_mss_res,pct
yy_mss,2027,9.160743774,yy_mss_res,pct
yy_mss,2028,9.69035291,yy_mss_res,pct
yy_mss,2029,9.453402503,yy_mss_res,pct
yy_mss,2030,9.618614627,yy_mss_res,pct
yy_mst,2025,10.40633884,yy_mst_res,pct
yy_mst,2026,10.68214809,yy_mst_res,pct
yy_mst,2027,9.960743774,yy_mst_res,pct
yy_mst,2028,10.59035291,yy_mst_res,pct
yy_mst,2029,10.1534025,yy_mst_res,pct
yy_mst,2030,10.31861463,yy_mst_res,pct
