NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_cpi,2025,3.5,yy_cpi_res,pct
yy_cpi,2026,3.3,yy_cpi_res,pct
yy_cpi,2027,3.830741649,yy_cpi_res,pct
yy_cpi,2028,3.970796581,yy_cpi_res,pct
yy_cpi,2029,4.057284521,yy_cpi_res,pct
yy_cpi,2030,4.1,yy_cpi_res,pct
yy_pce_r,2026,3.9,yy_pce_r_res,pct
yy_pce_r,2027,4.5,yy_pce_r_res,pct
yy_pce_r,2028,4.9,yy_pce_r_res,pct
yy_pce_r,2029,5.1,yy_pce_r_res,pct
yy_pce_r,2030,5.4,yy_pce_r_res,pct
yy_pce_r,2025,2.3,yy_pce_r_res,pct
yy_gce_r,2025,4.5,yy_gce_r_res,pct
yy_gce_r,2026,3.9,yy_gce_r_res,pct
yy_gce_r,2027,2.6,yy_gce_r_res,pct
yy_gce_r,2028,1.85,yy_gce_r_res,pct
yy_gce_r,2029,1.8,yy_gce_r_res,pct
yy_gce_r,2030,1.7,yy_gce_r_res,pct
yy_gfcf_r,2025,7.1,yy_gfcf_r_res,pct
yy_gfcf_r,2026,7.5,yy_gfcf_r_res,pct
yy_gfcf_r,2027,7.6,yy_gfcf_r_res,pct
yy_gfcf_r,2028,7.7,yy_gfcf_r_res,pct
yy_gfcf_r,2029,7.8,yy_gfcf_r_res,pct
yy_gfcf_r,2030,7.9,yy_gfcf_r_res,pct
yy_stk_r,2025,2.8,yy_stk_r_res,
yy_stk_r,2026,3.428775,yy_stk_r_res,
yy_stk_r,2027,3.7,yy_stk_r_res,
yy_stk_r,2028,3.780224438,yy_stk_r_res,
yy_stk_r,2029,3.969235659,yy_stk_r_res,
yy_stk_r,2030,4.1,yy_stk_r_res,
yy_xgs_r,2025,11.8,yy_xgs_r_res,pct
yy_xgs_r,2026,6.9,yy_xgs_r_res,pct
yy_xgs_r,2027,7.2,yy_xgs_r_res,pct
yy_xgs_r,2028,7.4,yy_xgs_r_res,pct
yy_xgs_r,2029,7.5,yy_xgs_r_res,pct
yy_xgs_r,2030,7.6,yy_xgs_r_res,pct
yy_mgs_r,2025,7.2,yy_mgs_r_res,pct
yy_mgs_r,2026,6.6,yy_mgs_r_res,pct
yy_mgs_r,2027,6.8,yy_mgs_r_res,pct
yy_mgs_r,2028,6.9,yy_mgs_r_res,pct
yy_mgs_r,2029,6.9,yy_mgs_r_res,pct
yy_mgs_r,2030,7,yy_mgs_r_res,pct
yy_xr,2025,17.96,yy_xr_res,
yy_xr,2026,17.93,yy_xr_res,
yy_xr,2027,18.58,yy_xr_res,
yy_xr,2028,19.27,yy_xr_res,
yy_xr,2029,20,yy_xr_res,
yy_xr,2030,20.68,yy_xr_res,
yy_xg_r,2024,0.079121436,yy_xg_r_res,pct
yy_xg_r,2025,11.8,yy_xg_r_res,pct
yy_xg_r,2026,6.9,yy_xg_r_res,pct
yy_xg_r,2027,7.2,yy_xg_r_res,pct
yy_xg_r,2028,7.4,yy_xg_r_res,pct
yy_xg_r,2029,7.5,yy_xg_r_res,pct
yy_xg_r,2030,7.6,yy_xg_r_res,pct
yy_mg_r,2024,7.935263083,yy_mg_r_res,pct
yy_mg_r,2025,7.2,yy_mg_r_res,pct
yy_mg_r,2026,6.6,yy_mg_r_res,pct
yy_mg_r,2027,6.8,yy_mg_r_res,pct
yy_mg_r,2028,6.9,yy_mg_r_res,pct
yy_mg_r,2029,6.9,yy_mg_r_res,pct
yy_mg_r,2030,7,yy_mg_r_res,pct
yy_partrate,2025,63,yy_partrate_res,
yy_partrate,2026,63.1,yy_partrate_res,
yy_partrate,2027,63.1,yy_partrate_res,
yy_partrate,2028,63.3,yy_partrate_res,
yy_partrate,2029,63.4,yy_partrate_res,
yy_partrate,2030,63.4,yy_partrate_res,
