NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
gdp,2027-Q4,3.773409,gdp_res,annual_pct
gdp,2028-Q4,3.8,gdp_res,annual_pct
gdp,2029-Q4,4,gdp_res,annual_pct
gdp,2025-Q2,-2,gdp_res,pct
gdp,2025-Q3,-0.4,gdp_res,pct
gdp,2025-Q4,0.2,gdp_res,pct
pce_p,2025-Q4,1.961697,pce_p_res,annual_pct
pce_p,2026-Q4,1,pce_p_res,pct
pce_p,2027-Q4,2.799545,pce_p_res,annual_pct
pce_p,2028-Q4,2.501053,pce_p_res,annual_pct
pce_p,2029-Q4,2.702314,pce_p_res,annual_pct
pce_p,2026-Q3,1,pce_p_res,pct
pce_p,2026-Q2,1,pce_p_res,pct
gce_p,2025-Q4,1.961697,gce_p_res,annual_pct
gce_p,2026-Q4,1.9,gce_p_res,annual_pct
gce_p,2027-Q4,1.8,gce_p_res,annual_pct
gce_p,2028-Q4,2,gce_p_res,annual_pct
gce_p,2029-Q4,2.2,gce_p_res,annual_pct
gfcf_p,2025-Q4,2,gfcf_p_res,annual_pct
gfcf_p,2026-Q4,1,gfcf_p_res,pct
gfcf_p,2027-Q4,1.1,gfcf_p_res,annual_pct
gfcf_p,2028-Q4,1.1,gfcf_p_res,annual_pct
gfcf_p,2029-Q4,1.1,gfcf_p_res,annual_pct
stk,2025-Q4,50,stk_res,annual
stk,2026-Q4,50,stk_res,annual
stk,2027-Q4,70,stk_res,annual
stk,2028-Q4,80,stk_res,annual
stk,2029-Q4,50,stk_res,annual
xgs,2026-Q4,0.8,xgs_res,pct
xgs,2026-Q3,0.8,xgs_res,pct
xgs,2026-Q2,0.8,xgs_res,pct
xgs,2026-Q1,0.8,xgs_res,pct
mgs,2026-Q4,-0.8,mgs_res,pct
mgs,2026-Q3,-0.5,mgs_res,pct
