NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_r3m,2022,2.0325,yy_r3m_res,
yy_r3m,2023,5.025357143,yy_r3m_res,
yy_r3m,2024,4.901836735,yy_r3m_res,
yy_r3m,2025,4.3,yy_r3m_res,
yy_r3m,2026,3.9,yy_r3m_res,
yy_r3m,2027,3.6,yy_r3m_res,
yy_r3m,2028,3.5,yy_r3m_res,
yy_r3m,2029,3.4025,yy_r3m_res,
yy_r3m,2030,3.4,yy_r3m_res,
yy_rl,2025,8.5,yy_rl_res,
yy_rl,2026,8.3625,yy_rl_res,
yy_rl,2027,8.275,yy_rl_res,
yy_rl,2028,8.31,yy_rl_res,
yy_rl,2029,8.1025,yy_rl_res,
yy_rl,2030,8.1,yy_rl_res,
yy_rd,2025,4.1,yy_rd_res,
yy_rd,2026,3.7,yy_rd_res,
yy_rd,2027,3.4,yy_rd_res,
yy_rd,2028,3.31,yy_rd_res,
yy_rd,2029,3.1025,yy_rd_res,
yy_rd,2030,3.1,yy_rd_res,
