NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
rp_e,2025-Q3,4.25,rp_e_res,
rp_e,2025-Q4,4.25,rp_e_res,
rp_e,2026-Q4,3.75,rp_e_res,
rp_e,2027-Q4,3.75,rp_e_res,annual
rp_e,2028-Q4,3.75,rp_e_res,annual
rp_e,2029-Q4,3.75,rp_e_res,annual
rp_e,2026-Q1,4,rp_e_res,
rp_e,2026-Q2,3.75,rp_e_res,
rp_e,2026-Q3,3.75,rp_e_res,
r3m_e,2024-Q1,5.215351195,r3m_e_res,
r3m_e,2024-Q2,4.604108441,r3m_e_res,
r3m_e,2024-Q3,4.232893952,r3m_e_res,
r3m_e,2024-Q4,3.903343103,r3m_e_res,
r3m_e,2026-Q4,3.800243316,r3m_e_res,annual
r3m_e,2027-Q4,3.800243112,r3m_e_res,annual
r3m_e,2028-Q4,3.800243112,r3m_e_res,annual
r3m_e,2029-Q4,3.800243112,r3m_e_res,annual
cpi_e,2025-Q4,0.6,cpi_e_res,pct
cpi_e,2026-Q1,0.7,cpi_e_res,pct
cpi_e,2025-Q3,0.5,cpi_e_res,pct
cpi_e,2026-Q3,0.5,cpi_e_res,pct
cpi_e,2026-Q2,0.65,cpi_e_res,pct
cpi_e,2027-Q4,2.4,cpi_e_res,annual_pct
cpi_e,2028-Q4,2.3,cpi_e_res,annual_pct
cpi_e,2029-Q4,2.2,cpi_e_res,annual_pct
xr_e,2025-Q3,3.5,xr_e_res,
xr_e,2025-Q4,3.55,xr_e_res,
xr_e,2026-Q1,3.67,xr_e_res,
xr_e,2026-Q2,3.75,xr_e_res,
xr_e,2026-Q3,3.67,xr_e_res,
xr_e,2026-Q4,3.67,xr_e_res,
xr_e,2027-Q4,3.6,xr_e_res,annual
xr_e,2028-Q4,3.6,xr_e_res,annual
xr_e,2029-Q4,3.6,xr_e_res,annual
xr_e,2030-Q4,3.6,xr_e_res,annual
