NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_ca_xgs_usd,2023,2.224374929,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2024,2.086705406,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2025,2.087481095,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2026,2.088263053,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2027,2.1,yy_ca_xgs_usd_res,pct
yy_ca_xg_ratio_ca_xgs,2023,91.32945944,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2024,91.2518905,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2025,91.17369467,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2026,91.09486809,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2027,91.1,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_mgs_usd,2023,6.929592057,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2024,-0.242104338,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2025,-0.202278236,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2026,-0.160694415,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2027,-0.2,yy_ca_mgs_usd_res,pct
yy_ca_mg_ratio_ca_mgs,2023,87.36840563,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2024,86.70463726,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2025,86.01157358,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2026,85.28851172,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2027,85,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_xi_ratio_gdp,2023,7.114860567,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2024,6.786588725,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2025,6.615754705,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2026,6.40879791,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2027,6.35,yy_ca_xi_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2023,45.06078359,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2024,42.98172859,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2025,41.8997798,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2026,40.58905343,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2027,40.4,yy_ca_xi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2023,-0.450607836,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2024,-0.441128267,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2025,-0.441050314,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2026,-0.427253194,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2027,-0.4,yy_ca_mi2_ratio_gdp_res,
yy_xg_fob_usd,2023,2.151346158,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2024,2,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2025,2,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2026,2,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2027,2,yy_xg_fob_usd_res,pct
yy_mg_cif_usd,2023,7.214453257,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2024,-1,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2025,-1,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2026,-1,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2027,-1,yy_mg_cif_usd_res,pct
yy_ca_mi_ratio_gdp,2023,-53.36145425,yy_ca_mi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2024,-50.89941544,yy_ca_mi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2025,-49.61816029,yy_ca_mi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2026,-48.06598433,yy_ca_mi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2027,-46.9,yy_ca_mi_ratio_gdp_res,
