NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_gdp,2023,8.180563122,yy_gdp_res,pct
yy_gdp,2024,4.837066976,yy_gdp_res,pct
yy_gdp,2025,2.582230258,yy_gdp_res,pct
yy_gdp,2026,3.229260739,yy_gdp_res,pct
yy_gdp,2027,3.3,yy_gdp_res,pct
yy_pce_p,2023,5.391732677,yy_pce_p_res,pct
yy_pce_p,2024,2.412682372,yy_pce_p_res,pct
yy_pce_p,2025,1.473943879,yy_pce_p_res,pct
yy_pce_p,2026,1.82956446,yy_pce_p_res,pct
yy_pce_p,2027,2.1,yy_pce_p_res,pct
yy_gce_p,2023,5.391732677,yy_gce_p_res,pct
yy_gce_p,2024,2.412682372,yy_gce_p_res,pct
yy_gce_p,2025,1.473943879,yy_gce_p_res,pct
yy_gce_p,2026,1.82956446,yy_gce_p_res,pct
yy_gce_p,2027,1.8,yy_gce_p_res,pct
yy_gfcf_p,2023,5.391732677,yy_gfcf_p_res,pct
yy_gfcf_p,2024,2.412682372,yy_gfcf_p_res,pct
yy_gfcf_p,2025,1.473943879,yy_gfcf_p_res,pct
yy_gfcf_p,2026,1.82956446,yy_gfcf_p_res,pct
yy_gfcf_p,2027,2.1,yy_gfcf_p_res,pct
yy_stk,2023,0,yy_stk_res,
yy_stk,2024,0,yy_stk_res,
yy_stk,2025,0,yy_stk_res,
yy_stk,2026,0.044986018,yy_stk_res,
yy_stk,2027,0,yy_stk_res,
