NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_xr_e,2025,3.64,yy_xr_e_res,
yy_xr_e,2026,3.64,yy_xr_e_res,
yy_xr_e,2027,3.64,yy_xr_e_res,
yy_xr_e,2028,3.64,yy_xr_e_res,
yy_xr_e,2029,3.64,yy_xr_e_res,
yy_xr_e,2030,3.64,yy_xr_e_res,
yy_r3m_e,2025,3.2,yy_r3m_e_res,
yy_r3m_e,2026,3.2,yy_r3m_e_res,
yy_r3m_e,2027,3.2,yy_r3m_e_res,
yy_r3m_e,2028,3.2,yy_r3m_e_res,
yy_r3m_e,2029,3.2,yy_r3m_e_res,
yy_r3m_e,2030,3,yy_r3m_e_res,
yy_cpi_e,2025,0.4,yy_cpi_e_res,pct
yy_cpi_e,2026,2.9,yy_cpi_e_res,pct
yy_cpi_e,2027,3.1,yy_cpi_e_res,pct
yy_cpi_e,2028,3.3,yy_cpi_e_res,pct
yy_cpi_e,2029,3.5,yy_cpi_e_res,pct
yy_cpi_e,2030,3.6,yy_cpi_e_res,pct
