NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_fdi_in_ratio_gdp,2025,2.2,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2026,2.7,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2027,3.258314,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2028,3.453423,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2029,3.39914,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2030,3.4,yy_fdi_in_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2025,-0.41681,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2026,-0.43228,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2027,-0.44542,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2028,-0.45956,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2029,-0.47387,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2030,-0.5,yy_fdi_out_ratio_gdp_res,
yy_fdi_in_stock_usd,2025,165.5088,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2026,177.8776,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2027,192.1017,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2028,208.175,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2029,225.0519,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2030,244.4,yy_fdi_in_stock_usd_res,
yy_fdi_out_stock_usd,2025,25.5254,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2026,27.2931,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2027,29.23757,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2028,31.37649,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2029,33.7293,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2030,36.6,yy_fdi_out_stock_usd_res,
yy_fpi_in_ratio_gdp,2025,2.3,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2026,2.616589,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2027,3,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2028,3,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2029,2.195343,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2030,2.2,yy_fpi_in_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2025,-0.54468,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2026,-0.53921,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2027,-0.53035,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2028,-0.52232,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2029,-0.51411,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2030,-0.5,yy_fpi_out_ratio_gdp_res,
yy_reserves_fx_usd,2024,64.699,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2025,68.3,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2026,71,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2027,73.4,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2028,75.1,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2029,76,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2030,77,yy_reserves_fx_usd_res,
yy_reserves_gold_usd,2024,8.701,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2025,11.2,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2026,10.17612,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2027,9.565733,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2028,8.99196,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2029,8.452604,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2030,8.5,yy_reserves_gold_usd_res,
yy_cbfa_l_usd,2025,0.5,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2026,0.5,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2027,0.5,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2028,0.5,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2029,0.5,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2030,0.5,yy_cbfa_l_usd_res,
yy_cbfl_b_usd,2025,0,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2026,0,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2027,0,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2028,0,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2029,0,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2030,0,yy_cbfl_b_usd_res,
