NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
rp,2025-Q4,6.5,rp_res,
rp,2028-Q4,3.75,rp_res,annual
rp,2029-Q4,3.75,rp_res,annual
rp,2026-Q1,6.5,rp_res,
rp,2026-Q2,6.5,rp_res,
rp,2026-Q3,6,rp_res,
rp,2026-Q4,5.5,rp_res,
rp,2027-Q1,4.75,rp_res,
rp,2027-Q2,4.5,rp_res,
rp,2027-Q3,4.25,rp_res,
rp,2027-Q4,4,rp_res,
rp,2030-Q4,3.75,rp_res,annual
r3m,2027-Q4,3.8,r3m_res,
r3m,2028-Q4,3.7,r3m_res,annual
r3m,2029-Q4,3.7,r3m_res,annual
r3m,2025-Q3,6,r3m_res,
r3m,2025-Q4,5.9,r3m_res,
r3m,2026-Q1,5.9,r3m_res,
r3m,2026-Q2,5.9,r3m_res,
r3m,2026-Q3,5.8,r3m_res,
r3m,2026-Q4,5.3,r3m_res,
r3m,2030-Q4,3.75,r3m_res,annual
r3m,2027-Q1,4.73,r3m_res,
r3m,2027-Q2,4.29,r3m_res,
r3m,2027-Q3,3.98,r3m_res,
r10y,2026-Q4,6.5,r10y_res,
r10y,2027-Q4,5.3,r10y_res,
r10y,2028-Q4,5.3,r10y_res,annual
r10y,2029-Q4,5,r10y_res,annual
r10y,2026-Q1,7,r10y_res,
r10y,2025-Q4,7.2,r10y_res,
r10y,2026-Q2,6.7,r10y_res,
r10y,2026-Q3,6.6,r10y_res,
r10y,2027-Q1,6.02,r10y_res,
r10y,2027-Q2,5.66,r10y_res,
r10y,2027-Q3,5.42,r10y_res,
r10y,2030-Q4,4.9,r10y_res,annual
rl,2025-Q4,8.4,rl_res,
rl,2027-Q4,6.89,rl_res,
rl,2028-Q4,6.6,rl_res,annual
rl,2029-Q4,6.5,rl_res,annual
rl,2025-Q3,8.6,rl_res,
rl,2026-Q1,8.4,rl_res,
rl,2026-Q2,8.4,rl_res,
rl,2026-Q3,8.1,rl_res,
rl,2026-Q4,7.8,rl_res,
rl,2027-Q1,7.54,rl_res,
rl,2027-Q2,7.3,rl_res,
rl,2027-Q3,7.08,rl_res,
rl,2030-Q4,6.5,rl_res,annual
rd,2025-Q4,5.1,rd_res,
rd,2027-Q4,3.8,rd_res,
rd,2028-Q4,3.5,rd_res,annual
rd,2029-Q4,3.5,rd_res,annual
rd,2025-Q3,5.1,rd_res,
rd,2026-Q1,5.1,rd_res,
rd,2026-Q2,5.1,rd_res,
rd,2026-Q3,4.8,rd_res,
rd,2026-Q4,4.5,rd_res,
rd,2027-Q1,4.4,rd_res,
rd,2027-Q2,4.2,rd_res,
rd,2027-Q3,4,rd_res,
rd,2030-Q4,3.5,rd_res,annual
