NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_agri_r_ratio_gdpp_r,2025,4.3,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2026,4.3,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2027,4.266,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2028,4.222,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2029,4.18,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2030,4.14,yy_agri_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2025,24.2,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2026,24.1,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2027,24,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2028,23.9,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2029,23.8,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2030,23.8,yy_ind_r_ratio_gdpp_r_res,
yy_man_r_ratio_ind_r,2025,70.7,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2026,71,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2027,71,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2028,71,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2029,71,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2030,71,yy_man_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2025,29.5,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2026,29.6,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2027,30,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2028,30.3,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2029,30.5,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2030,30.5,yy_cons_r_ratio_ind_r_res,
yy_pas_r_ratio_serv_r,2025,21,yy_pas_r_ratio_serv_r_res,
yy_pas_r_ratio_serv_r,2026,20.9,yy_pas_r_ratio_serv_r_res,
yy_pas_r_ratio_serv_r,2027,20.7,yy_pas_r_ratio_serv_r_res,
yy_pas_r_ratio_serv_r,2028,20.5,yy_pas_r_ratio_serv_r_res,
yy_pas_r_ratio_serv_r,2029,20.3,yy_pas_r_ratio_serv_r_res,
yy_pas_r_ratio_serv_r,2030,20.3,yy_pas_r_ratio_serv_r_res,
yy_fin_r_ratio_serv_r,2025,4.05,yy_fin_r_ratio_serv_r_res,
yy_fin_r_ratio_serv_r,2026,4.1,yy_fin_r_ratio_serv_r_res,
yy_fin_r_ratio_serv_r,2027,4.1,yy_fin_r_ratio_serv_r_res,
yy_fin_r_ratio_serv_r,2028,4.1,yy_fin_r_ratio_serv_r_res,
yy_fin_r_ratio_serv_r,2029,4.1,yy_fin_r_ratio_serv_r_res,
yy_fin_r_ratio_serv_r,2030,4,yy_fin_r_ratio_serv_r_res,
yy_wrt_r_ratio_serv_r,2025,31.9,yy_wrt_r_ratio_serv_r_res,
yy_wrt_r_ratio_serv_r,2026,32.3,yy_wrt_r_ratio_serv_r_res,
yy_wrt_r_ratio_serv_r,2027,32.5,yy_wrt_r_ratio_serv_r_res,
yy_wrt_r_ratio_serv_r,2028,32.8,yy_wrt_r_ratio_serv_r_res,
yy_wrt_r_ratio_serv_r,2029,33,yy_wrt_r_ratio_serv_r_res,
yy_wrt_r_ratio_serv_r,2030,33.1,yy_wrt_r_ratio_serv_r_res,
yy_ict_r_ratio_serv_r,2025,12.7,yy_ict_r_ratio_serv_r_res,
yy_ict_r_ratio_serv_r,2026,13,yy_ict_r_ratio_serv_r_res,
yy_ict_r_ratio_serv_r,2027,13.3,yy_ict_r_ratio_serv_r_res,
yy_ict_r_ratio_serv_r,2028,13.6,yy_ict_r_ratio_serv_r_res,
yy_ict_r_ratio_serv_r,2029,13.9,yy_ict_r_ratio_serv_r_res,
yy_ict_r_ratio_serv_r,2030,14,yy_ict_r_ratio_serv_r_res,
yy_real_r_ratio_serv_r,2025,13.4,yy_real_r_ratio_serv_r_res,
yy_real_r_ratio_serv_r,2026,13.7,yy_real_r_ratio_serv_r_res,
yy_real_r_ratio_serv_r,2027,14,yy_real_r_ratio_serv_r_res,
yy_real_r_ratio_serv_r,2028,14.3,yy_real_r_ratio_serv_r_res,
yy_real_r_ratio_serv_r,2029,14.6,yy_real_r_ratio_serv_r_res,
yy_real_r_ratio_serv_r,2030,14.6,yy_real_r_ratio_serv_r_res,
yy_inp_r,2026,2,yy_inp_r_res,pct
yy_inp_r,2027,2.8,yy_inp_r_res,pct
yy_inp_r,2028,2.6,yy_inp_r_res,pct
yy_inp_r,2029,2.6,yy_inp_r_res,pct
yy_inp_r,2025,-1.4,yy_inp_r_res,pct
yy_inp_r,2030,2.6,yy_inp_r_res,pct
