NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_brel_ratio_gdp,2025,22.6,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2026,23.11,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2027,22.9,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2028,22.4,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2029,21.7,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2030,21.7,yy_brel_ratio_gdp_res,
yy_bexl_ratio_gdp,2025,28.1,yy_bexl_ratio_gdp_res,
yy_bexl_ratio_gdp,2026,27.2,yy_bexl_ratio_gdp_res,
yy_bexl_ratio_gdp,2027,26.8,yy_bexl_ratio_gdp_res,
yy_bexl_ratio_gdp,2028,26.4,yy_bexl_ratio_gdp_res,
yy_bexl_ratio_gdp,2029,25.6,yy_bexl_ratio_gdp_res,
yy_bexl_ratio_gdp,2030,25.66,yy_bexl_ratio_gdp_res,
yy_pudl_reval,2024,-5,yy_pudl_reval_res,
yy_pudl_reval,2025,9,yy_pudl_reval_res,
yy_pudl_reval,2026,6,yy_pudl_reval_res,
yy_pudl_reval,2027,4,yy_pudl_reval_res,
yy_pudl_reval,2028,2,yy_pudl_reval_res,
yy_pudl_reval,2029,0.5,yy_pudl_reval_res,
yy_pudl_reval,2030,1,yy_pudl_reval_res,
