NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_ca_xgs_usd,2024,17.76882213,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2025,4.151252139,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2026,2.798383604,yy_ca_xgs_usd_res,pct
yy_ca_xg_ratio_ca_xgs,2024,79.37470835,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2025,78.34490562,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2026,78.4985619,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_mgs_usd,2024,-2.976459937,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2025,6.405451347,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2026,1.928495498,yy_ca_mgs_usd_res,pct
yy_ca_mg_ratio_ca_mgs,2024,71.0136475,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2025,73.21238745,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2026,73.98201916,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_xi_ratio_gdp,2024,4.148246006,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2025,3.969046203,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2026,3.753533585,yy_ca_xi_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2024,-18.70628029,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2025,-4.003580011,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2026,-4.139932749,yy_ca_mi_net_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2024,11.63312467,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2025,11.68385621,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2026,11.68385621,yy_ca_xi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2024,-2.843652697,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2025,-2.847304013,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2026,-2.847304013,yy_ca_mi2_ratio_gdp_res,
yy_xg_fob_usd,2024,18.48154168,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2025,2.8,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2026,3,yy_xg_fob_usd_res,pct
yy_mg_cif_usd,2024,-3.288324067,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2025,9.7,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2026,3,yy_mg_cif_usd_res,pct
yy_wkr_usd,2024,0.082,yy_wkr_usd_res,
yy_wkr_usd,2025,0.076,yy_wkr_usd_res,
yy_wkr_usd,2026,0.074,yy_wkr_usd_res,
