NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_edebt_arr_ppl_oc_miss_usd,2024,1.00E-07,yy_edebt_arr_ppl_oc_miss_usd_res,
yy_edebt_arr_ppl_oc_miss_usd,2025,1.00E-07,yy_edebt_arr_ppl_oc_miss_usd_res,
yy_edebt_arr_ppl_oc_miss_usd,2026,1.00E-07,yy_edebt_arr_ppl_oc_miss_usd_res,
yy_edebt_arr_ppl_pc_miss_usd,2024,1.00E-07,yy_edebt_arr_ppl_pc_miss_usd_res,
yy_edebt_arr_ppl_pc_miss_usd,2025,1.00E-07,yy_edebt_arr_ppl_pc_miss_usd_res,
yy_edebt_arr_ppl_pc_miss_usd,2026,1.00E-07,yy_edebt_arr_ppl_pc_miss_usd_res,
yy_edebt_arr_ppl_oc_elim_usd,2024,0,yy_edebt_arr_ppl_oc_elim_usd_res,
yy_edebt_arr_ppl_oc_elim_usd,2025,0,yy_edebt_arr_ppl_oc_elim_usd_res,
yy_edebt_arr_ppl_oc_elim_usd,2026,0,yy_edebt_arr_ppl_oc_elim_usd_res,
yy_edebt_arr_ppl_pc_elim_usd,2024,0,yy_edebt_arr_ppl_pc_elim_usd_res,
yy_edebt_arr_ppl_pc_elim_usd,2025,0,yy_edebt_arr_ppl_pc_elim_usd_res,
yy_edebt_arr_ppl_pc_elim_usd,2026,0,yy_edebt_arr_ppl_pc_elim_usd_res,
yy_edebt_arr_int_oc_miss_usd,2024,0,yy_edebt_arr_int_oc_miss_usd_res,
yy_edebt_arr_int_oc_miss_usd,2025,0,yy_edebt_arr_int_oc_miss_usd_res,
yy_edebt_arr_int_oc_miss_usd,2026,0,yy_edebt_arr_int_oc_miss_usd_res,
yy_edebt_arr_int_pc_miss_usd,2024,0,yy_edebt_arr_int_pc_miss_usd_res,
yy_edebt_arr_int_pc_miss_usd,2025,0,yy_edebt_arr_int_pc_miss_usd_res,
yy_edebt_arr_int_pc_miss_usd,2026,0,yy_edebt_arr_int_pc_miss_usd_res,
yy_edebt_arr_int_oc_elim_usd,2024,0,yy_edebt_arr_int_oc_elim_usd_res,
yy_edebt_arr_int_oc_elim_usd,2025,0,yy_edebt_arr_int_oc_elim_usd_res,
yy_edebt_arr_int_oc_elim_usd,2026,0,yy_edebt_arr_int_oc_elim_usd_res,
yy_edebt_arr_int_pc_elim_usd,2024,0,yy_edebt_arr_int_pc_elim_usd_res,
yy_edebt_arr_int_pc_elim_usd,2025,0,yy_edebt_arr_int_pc_elim_usd_res,
yy_edebt_arr_int_pc_elim_usd,2026,0,yy_edebt_arr_int_pc_elim_usd_res,
yy_edebt_mlt_reval,2024,-0.6118728,yy_edebt_mlt_reval_res,
yy_edebt_mlt_reval,2025,1.067188389,yy_edebt_mlt_reval_res,
yy_edebt_mlt_reval,2026,1.125750456,yy_edebt_mlt_reval_res,
yy_edebt_oc_eir,2024,0.962784216,yy_edebt_oc_eir_res,
yy_edebt_oc_eir,2025,0.421807227,yy_edebt_oc_eir_res,
yy_edebt_oc_eir,2026,0.036457981,yy_edebt_oc_eir_res,
yy_edebt_pc_eir,2024,0.609859676,yy_edebt_pc_eir_res,
yy_edebt_pc_eir,2025,0.068882687,yy_edebt_pc_eir_res,
yy_edebt_pc_eir,2026,-0.316466558,yy_edebt_pc_eir_res,
yy_edebt_imf_eir,2024,1.074356823,yy_edebt_imf_eir_res,
yy_edebt_imf_eir,2025,0.533379834,yy_edebt_imf_eir_res,
yy_edebt_imf_eir,2026,0.148030589,yy_edebt_imf_eir_res,
yy_edebt_st_eir,2024,1.435280292,yy_edebt_st_eir_res,
yy_edebt_st_eir,2025,0.894303303,yy_edebt_st_eir_res,
yy_edebt_st_eir,2026,0.508954058,yy_edebt_st_eir_res,
yy_edebt_stb_ratio_edebt,2024,7.321573558,yy_edebt_stb_ratio_edebt_res,
yy_edebt_stb_ratio_edebt,2025,5.966842544,yy_edebt_stb_ratio_edebt_res,
yy_edebt_stb_ratio_edebt,2026,6.092184222,yy_edebt_stb_ratio_edebt_res,
yy_edebt_mc_ratio_edebt_oc,2024,84.36556617,yy_edebt_mc_ratio_edebt_oc_res,
yy_edebt_mc_ratio_edebt_oc,2025,86.00306925,yy_edebt_mc_ratio_edebt_oc_res,
yy_edebt_mc_ratio_edebt_oc,2026,87.47356232,yy_edebt_mc_ratio_edebt_oc_res,
yy_edebt_pub_ratio_edebt_pc,2024,0,yy_edebt_pub_ratio_edebt_pc_res,
yy_edebt_pub_ratio_edebt_pc,2025,0,yy_edebt_pub_ratio_edebt_pc_res,
yy_edebt_pub_ratio_edebt_pc,2026,0,yy_edebt_pub_ratio_edebt_pc_res,
yy_edebt_imf_rpdb_gra_sdr,2024,0.0000001,yy_edebt_imf_rpdb_gra_sdr_res,
yy_edebt_imf_rpdb_gra_sdr,2025,0.0000001,yy_edebt_imf_rpdb_gra_sdr_res,
yy_edebt_imf_rpdb_gra_sdr,2026,0.0000001,yy_edebt_imf_rpdb_gra_sdr_res,
yy_edebt_imf_bb_gra_sdr,2024,0,yy_edebt_imf_bb_gra_sdr_res,
yy_edebt_imf_bb_gra_sdr,2025,0,yy_edebt_imf_bb_gra_sdr_res,
yy_edebt_imf_bb_gra_sdr,2026,0,yy_edebt_imf_bb_gra_sdr_res,
yy_edebt_oc_rpdb_usd,2024,0.008282353,yy_edebt_oc_rpdb_usd_res,
yy_edebt_oc_rpdb_usd,2025,0.007691361,yy_edebt_oc_rpdb_usd_res,
yy_edebt_oc_rpdb_usd,2026,0.007580509,yy_edebt_oc_rpdb_usd_res,
yy_edebt_pc_rpdb_usd,2024,0.004516,yy_edebt_pc_rpdb_usd_res,
yy_edebt_pc_rpdb_usd,2025,0.007416206,yy_edebt_pc_rpdb_usd_res,
yy_edebt_pc_rpdb_usd,2026,0.007514183,yy_edebt_pc_rpdb_usd_res,
yy_edebt_imf_rpdb_loans_sdr,2024,0,yy_edebt_imf_rpdb_loans_sdr_res,
yy_edebt_imf_rpdb_loans_sdr,2025,0,yy_edebt_imf_rpdb_loans_sdr_res,
yy_edebt_imf_rpdb_loans_sdr,2026,0,yy_edebt_imf_rpdb_loans_sdr_res,
yy_edebt_imf_bb_loans_sdr,2024,0,yy_edebt_imf_bb_loans_sdr_res,
yy_edebt_imf_bb_loans_sdr,2025,0,yy_edebt_imf_bb_loans_sdr_res,
yy_edebt_imf_bb_loans_sdr,2026,0,yy_edebt_imf_bb_loans_sdr_res,
yy_edebt_oc_bb_usd,2024,0.012,yy_edebt_oc_bb_usd_res,
yy_edebt_oc_bb_usd,2025,0.009,yy_edebt_oc_bb_usd_res,
yy_edebt_oc_bb_usd,2026,0.009,yy_edebt_oc_bb_usd_res,
yy_edebt_pc_bb_usd,2024,0.01,yy_edebt_pc_bb_usd_res,
yy_edebt_pc_bb_usd,2025,0.008,yy_edebt_pc_bb_usd_res,
yy_edebt_pc_bb_usd,2026,0.008,yy_edebt_pc_bb_usd_res,
yy_edebt_oc_brs_usd,2024,0,yy_edebt_oc_brs_usd_res,
yy_edebt_oc_brs_usd,2025,0,yy_edebt_oc_brs_usd_res,
yy_edebt_oc_brs_usd,2026,0,yy_edebt_oc_brs_usd_res,
yy_edebt_pc_brs_usd,2024,0,yy_edebt_pc_brs_usd_res,
yy_edebt_pc_brs_usd,2025,0,yy_edebt_pc_brs_usd_res,
yy_edebt_pc_brs_usd,2026,0,yy_edebt_pc_brs_usd_res,
yy_edebt_oc_rprs_usd,2024,0,yy_edebt_oc_rprs_usd_res,
yy_edebt_oc_rprs_usd,2025,0,yy_edebt_oc_rprs_usd_res,
yy_edebt_oc_rprs_usd,2026,0,yy_edebt_oc_rprs_usd_res,
yy_edebt_pc_rprs_usd,2024,0,yy_edebt_pc_rprs_usd_res,
yy_edebt_pc_rprs_usd,2025,0,yy_edebt_pc_rprs_usd_res,
