NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_gdpp_r,2025,4,yy_gdpp_r_res,pct
yy_gdpp_r,2026,3.5,yy_gdpp_r_res,pct
yy_agri_r_ratio_gdpp_r,2025,3.375497543,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2026,3.355910516,yy_agri_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2025,14.50496579,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2026,14.51899381,yy_ind_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2025,82.11953667,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2026,82.12509568,yy_serv_r_ratio_gdpp_r_res,
yy_man_r_ratio_ind_r,2025,46.28308031,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2026,46.28308031,yy_man_r_ratio_ind_r_res,
