NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_gdpp_r,2025,-6.839658624,yy_gdpp_r_res,pct
yy_gdpp_r,2026,1.121344873,yy_gdpp_r_res,pct
yy_gdpp_r,2027,1.338958532,yy_gdpp_r_res,pct
yy_gdpp_r,2028,3.543864956,yy_gdpp_r_res,pct
yy_gdpp_r,2029,4.448024568,yy_gdpp_r_res,pct
yy_agri_r_ratio_gdpp_r,2025,35.27880124,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2026,35.72489321,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2027,36.23995229,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2028,37.16958928,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2029,38.29127285,yy_agri_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2025,23.06267654,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2026,22.13920562,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2027,21.90400597,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2028,21.42242774,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2029,20.77305787,yy_ind_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2025,33.87418086,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2026,33.83353209,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2027,33.6535927,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2028,33.47682694,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2029,33.33322977,yy_serv_r_ratio_gdpp_r_res,
yy_man_r_ratio_ind_r,2024,49.42074261,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2025,49.34845929,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2026,49.31172208,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2027,49.28104846,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2028,49.24826583,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2029,49.20842669,yy_man_r_ratio_ind_r_res,
