NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_agri_r_ratio_gdpp_r,2025,2.1,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2026,2.1,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2027,2,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2028,2,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2029,2,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2030,2,yy_agri_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2025,31.1,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2026,31.1,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2027,31.2,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2028,31.2,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2029,33.5,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2030,33.5,yy_ind_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2025,66.9,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2026,66.9,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2027,66.9,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2028,66.8,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2029,66.8,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2030,66.8,yy_serv_r_ratio_gdpp_r_res,
yy_man_r_ratio_ind_r,2025,60,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2026,60,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2027,60,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2028,60,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2029,60,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2030,60,yy_man_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2025,2.4,yy_min_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2026,2.41,yy_min_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2027,2.4,yy_min_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2028,2.4,yy_min_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2029,2.4,yy_min_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2030,2.4,yy_min_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2025,25.6,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2026,25.6,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2027,25.6,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2028,25.6,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2029,25.6,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2030,25.6,yy_cons_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2025,11.7,yy_util_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2026,11.7,yy_util_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2027,11.69,yy_util_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2028,11.7,yy_util_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2029,11.7,yy_util_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2030,11.7,yy_util_r_ratio_ind_r_res,
yy_fin_r_ratio_serv_r,2025,8.2,yy_fin_r_ratio_serv_r_res,
yy_fin_r_ratio_serv_r,2026,8.2,yy_fin_r_ratio_serv_r_res,
yy_fin_r_ratio_serv_r,2027,8.3,yy_fin_r_ratio_serv_r_res,
yy_fin_r_ratio_serv_r,2028,8.3,yy_fin_r_ratio_serv_r_res,
yy_fin_r_ratio_serv_r,2029,8.4,yy_fin_r_ratio_serv_r_res,
