NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
cpi,2025-Q4,0.5,cpi_res,pct
cpi,2026-Q4,0.2,cpi_res,pct
cpi,2025-Q2,0.444,cpi_res,pct
cpi,2025-Q3,0.6,cpi_res,pct
cpi,2026-Q1,0.5,cpi_res,pct
cpi,2026-Q2,0.6,cpi_res,pct
cpi,2026-Q3,0.4,cpi_res,pct
cpi,2028-Q4,2,cpi_res,annual_pct
cpi,2027-Q4,2.1,cpi_res,annual_pct
ppi,2025-Q4,0.6,ppi_res,pct
ppi,2026-Q4,0.4,ppi_res,pct
ppi,2027-Q4,1.646753,ppi_res,annual_pct
ppi,2025-Q3,0.5,ppi_res,pct
ppi,2026-Q1,0.3,ppi_res,pct
ppi,2026-Q2,0.4,ppi_res,pct
ppi,2026-Q3,0.4,ppi_res,pct
pce_r,2025-Q4,0.7,pce_r_res,pct
pce_r,2026-Q4,0.2,pce_r_res,pct
pce_r,2027-Q4,2.2,pce_r_res,annual_pct
pce_r,2028-Q4,2,pce_r_res,annual_pct
pce_r,2029-Q4,2.1,pce_r_res,annual_pct
pce_r,2025-Q2,0.7,pce_r_res,pct
pce_r,2025-Q3,0.8,pce_r_res,pct
pce_r,2026-Q1,0.6,pce_r_res,pct
pce_r,2026-Q2,0.4,pce_r_res,pct
pce_r,2026-Q3,0.4,pce_r_res,pct
gce_r,2025-Q4,2.1,gce_r_res,pct
gce_r,2026-Q4,0.1,gce_r_res,pct
gce_r,2027-Q4,2.1,gce_r_res,annual_pct
gce_r,2028-Q4,1.9,gce_r_res,annual_pct
gce_r,2029-Q4,1.6,gce_r_res,annual_pct
gce_r,2025-Q2,1.5,gce_r_res,pct
gce_r,2025-Q3,1.8,gce_r_res,pct
gce_r,2026-Q1,0.3,gce_r_res,pct
gce_r,2026-Q2,0.1,gce_r_res,pct
gce_r,2026-Q3,0.2,gce_r_res,pct
gfcf_r,2025-Q4,2.2,gfcf_r_res,pct
gfcf_r,2026-Q4,0.1,gfcf_r_res,pct
gfcf_r,2027-Q4,4,gfcf_r_res,annual_pct
gfcf_r,2028-Q4,3.8,gfcf_r_res,annual_pct
gfcf_r,2029-Q4,3.7,gfcf_r_res,annual_pct
gfcf_r,2025-Q2,2.1,gfcf_r_res,pct
gfcf_r,2025-Q3,2.9,gfcf_r_res,pct
gfcf_r,2026-Q1,0.7,gfcf_r_res,pct
gfcf_r,2026-Q2,0.4,gfcf_r_res,pct
gfcf_r,2026-Q3,0.2,gfcf_r_res,pct
stk_r,2025-Q4,0.15,stk_r_res,
stk_r,2026-Q4,0.18,stk_r_res,
stk_r,2027-Q4,0.6,stk_r_res,annual
stk_r,2028-Q4,0.4,stk_r_res,annual
stk_r,2029-Q4,0.4,stk_r_res,annual
stk_r,2025-Q2,0.25,stk_r_res,
stk_r,2025-Q3,0.19,stk_r_res,
stk_r,2030-Q4,0.4,stk_r_res,annual
stk_r,2026-Q1,0.12,stk_r_res,
stk_r,2026-Q2,0.18,stk_r_res,
stk_r,2026-Q3,0.18,stk_r_res,
xg_r,2025-Q4,1.4,xg_r_res,pct
xg_r,2026-Q4,0.4,xg_r_res,pct
xg_r,2027-Q4,3.2,xg_r_res,annual_pct
xg_r,2028-Q4,3.4,xg_r_res,annual_pct
xg_r,2029-Q4,3.1,xg_r_res,annual_pct
xg_r,2025-Q2,1.1,xg_r_res,pct
xg_r,2025-Q3,0.9,xg_r_res,pct
xg_r,2026-Q1,0.7,xg_r_res,pct
xg_r,2026-Q2,0.2,xg_r_res,pct
xg_r,2026-Q3,0.3,xg_r_res,pct
xs_r,2025-Q4,1.5,xs_r_res,pct
xs_r,2026-Q4,0.5,xs_r_res,pct
xs_r,2027-Q4,4.1,xs_r_res,annual_pct
xs_r,2028-Q4,4,xs_r_res,annual_pct
xs_r,2029-Q4,3.6,xs_r_res,annual_pct
xs_r,2025-Q2,1.6,xs_r_res,pct
xs_r,2025-Q3,2.5,xs_r_res,pct
xs_r,2026-Q1,0.7,xs_r_res,pct
xs_r,2026-Q3,0.44,xs_r_res,pct
xs_r,2026-Q2,0.6,xs_r_res,pct
mg_r,2025-Q4,1.1,mg_r_res,pct
mg_r,2026-Q4,0.4,mg_r_res,pct
mg_r,2027-Q4,3.4,mg_r_res,annual_pct
mg_r,2028-Q4,3.3,mg_r_res,annual_pct
mg_r,2029-Q4,3.2,mg_r_res,annual_pct
mg_r,2025-Q2,0.9,mg_r_res,pct
mg_r,2025-Q3,1.2,mg_r_res,pct
mg_r,2026-Q1,0.7,mg_r_res,pct
mg_r,2026-Q2,0.5,mg_r_res,pct
mg_r,2026-Q3,0.3,mg_r_res,pct
ms_r,2025-Q4,1.3,ms_r_res,pct
ms_r,2026-Q4,1,ms_r_res,pct
ms_r,2027-Q4,4,ms_r_res,annual_pct
ms_r,2028-Q4,3.8,ms_r_res,annual_pct
ms_r,2029-Q4,3.5,ms_r_res,annual_pct
ms_r,2025-Q2,1,ms_r_res,pct
ms_r,2025-Q3,1.5,ms_r_res,pct
ms_r,2026-Q1,0.9,ms_r_res,pct
ms_r,2026-Q2,0.9,ms_r_res,pct
ms_r,2026-Q3,0.9,ms_r_res,pct
partrate,2025-Q4,74.3,partrate_res,
partrate,2026-Q4,74.5,partrate_res,annual
partrate,2027-Q4,75,partrate_res,annual
partrate,2028-Q4,75.4,partrate_res,annual
partrate,2029-Q4,75.5,partrate_res,annual
partrate,2030-Q4,75.7,partrate_res,annual
partrate,2025-Q2,74,partrate_res,
partrate,2025-Q3,74.1,partrate_res,
urate,2025-Q4,4.7,urate_res,
urate,2026-Q4,4.7,urate_res,
urate,2027-Q4,4.628786,urate_res,annual
urate,2028-Q4,4.54,urate_res,annual
urate,2029-Q4,4.437948,urate_res,annual
urate,2030-Q4,4.5,urate_res,annual
urate,2025-Q2,4.6,urate_res,
urate,2025-Q3,4.7,urate_res,
urate,2026-Q1,4.8,urate_res,
urate,2026-Q2,4.8,urate_res,
urate,2026-Q3,4.8,urate_res,
