NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_fdi_in_ratio_gdp,2024,4.092143258,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2025,4.196073182,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2026,4.215253421,yy_fdi_in_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2024,0,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2025,0,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2026,0,yy_fdi_out_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2024,0,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2025,0,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2026,0,yy_fpi_in_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2024,0,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2025,0,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2026,0,yy_fpi_out_ratio_gdp_res,
yy_reserves_fx_usd,2024,0.480829,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2025,0.53852848,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2026,0.565454904,yy_reserves_fx_usd_res,
yy_reserves_gold_usd,2024,0,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2025,0,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2026,0,yy_reserves_gold_usd_res,
yy_fdi_in_stock_usd,2024,2.6908,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2025,3.0328,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2026,3.3898,yy_fdi_in_stock_usd_res,
yy_fdi_out_stock_usd,2024,0,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2025,0,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2026,0,yy_fdi_out_stock_usd_res,
yy_cbfa_l_usd,2025,0.066183669,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2026,0.045791009,yy_cbfa_l_usd_res,
yy_cbfl_b_usd,2025,0.000373959,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2026,0.000466923,yy_cbfl_b_usd_res,
