NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_fdi_in_ratio_gdp,2023,5.642655914,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2024,2.521118791,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2025,4.214180392,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2026,4.155084756,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2027,4.3,yy_fdi_in_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2023,-0.526258065,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2024,-0.378167819,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2025,-0.316063529,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2026,-0.27700565,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2027,-0.3,yy_fdi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2023,0.029236559,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2024,-0.196647266,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2025,-0.197223642,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2026,-0.207421831,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2027,-0.2,yy_fpi_out_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2023,0.146182796,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2024,0.12605594,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2025,0.10535451,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2026,0.092335217,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2027,0.1,yy_fpi_in_ratio_gdp_res,
yy_reserves_fx_usd,2023,0.04625,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2024,0.038325415,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2025,0.05,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2026,0.07,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2027,0.08,yy_reserves_fx_usd_res,
yy_reserves_gold_usd,2023,0,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2024,0,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2025,0,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2026,0,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2027,0,yy_reserves_gold_usd_res,
yy_fdi_in_stock_usd,2023,0.5093,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2024,0.5293,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2025,0.5692999999999999,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2026,0.6143,yy_fdi_in_stock_usd_res,
yy_fdi_out_stock_usd,2023,0.008,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2024,0.011,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2025,0.014,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2026,0.017,yy_fdi_out_stock_usd_res,
yy_cbfa_l_usd,2025,6.776263578034403e-21,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2026,-2.03E-20,yy_cbfa_l_usd_res,
yy_cbfl_b_usd,2025,6.776263578034403e-21,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2026,-1.02E-20,yy_cbfl_b_usd_res,
