"NAME","DATE","VALUE","ENDOGENIZE","TRANSFORM"
"yy_energy_petr_cru_prod",2024,18.7,"yy_energy_petr_cru_prod_res",
"yy_energy_petr_cru_prod",2025,-2,"yy_energy_petr_cru_prod_res",
"yy_energy_petr_cru_prod",2026,7.9,"yy_energy_petr_cru_prod_res",
"yy_energy_petr_cru_prod",2027,1,"yy_energy_petr_cru_prod_res",
"yy_energy_petr_cru_prod",2028,6.5,"yy_energy_petr_cru_prod_res",
"yy_energy_petr_cru_prod",2029,-1.3,"yy_energy_petr_cru_prod_res",
"yy_energy_petr_cru_prod",2030,-2,"yy_energy_petr_cru_prod_res",
"yy_energy_petr_cru_prod",2031,-0.7,"yy_energy_petr_cru_prod_res",
"yy_energy_petr_cru_prod",2032,-1.6,"yy_energy_petr_cru_prod_res",
"yy_energy_petr_cru_prod",2033,-1.3,"yy_energy_petr_cru_prod_res",
"yy_energy_petr_cru_prod",2034,-1.4,"yy_energy_petr_cru_prod_res",
