NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_agri_r_ratio_gdpp_r,2024,22,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2025,21.4,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2026,20.8,yy_agri_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2024,56,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2025,57,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2026,55.5,yy_ind_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2025,35.3,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2026,34.3,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2024,36.5,yy_serv_r_ratio_gdpp_r_res,
yy_man_r_ratio_ind_r,2023,22.24184381,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2024,21,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2025,19.8,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2026,19.6,yy_man_r_ratio_ind_r_res,
