NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_cpi,2025,7.299999999999995,yy_cpi_res,pct
yy_cpi,2026,7.499999999999996,yy_cpi_res,pct
yy_cpi,2027,7,yy_cpi_res,pct
yy_xgs_r,2024,2.796592550957167,yy_xgs_r_res,pct
yy_xgs_r,2025,4,yy_xgs_r_res,pct
yy_xgs_r,2026,3,yy_xgs_r_res,pct
yy_xgs_r,2027,2.8,yy_xgs_r_res,pct
yy_mgs_r,2024,3.796592550957167,yy_mgs_r_res,pct
yy_mgs_r,2025,2.225118687204919,yy_mgs_r_res,pct
yy_mgs_r,2026,2.713406802,yy_mgs_r_res,pct
yy_mgs_r,2027,2.8,yy_mgs_r_res,pct
yy_gdp_r,2024,3.3,yy_gdp_r_res,pct
yy_gdp_r,2025,3.1,yy_gdp_r_res,pct
yy_gdp_r,2026,3.4,yy_gdp_r_res,pct
yy_gdp_r,2027,3.2,yy_gdp_r_res,pct
yy_xr,2025,3.5,yy_xr_res,
yy_xr,2026,3.5,yy_xr_res,
yy_xr,2027,3.5,yy_xr_res,
yy_xr_2,2024,19.05,yy_xr_2_res,
yy_xr_2,2025,20.76,yy_xr_2_res,
yy_xr_2,2026,21,yy_xr_2_res,
yy_xr_2,2027,21.5,yy_xr_2_res,
