NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_ca_xgs_usd,2024,3,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2025,2,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2026,3,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2027,3,yy_ca_xgs_usd_res,pct
yy_ca_xg_ratio_ca_xgs,2024,80.5641843,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2025,80.5,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2026,80.5,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2027,80.5,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_mgs_usd,2024,2,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2025,4.5,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2026,5,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2027,6,yy_ca_mgs_usd_res,pct
yy_ca_mg_ratio_ca_mgs,2024,35.53313270463396,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2025,36.63174702173374,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2026,36.32217894417597,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2027,36.3,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_xi_ratio_gdp,2024,1,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2025,0.9,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2026,0.7,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2027,0.6,yy_ca_xi_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2024,0.002389932,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2025,0.16716318008449432,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2026,0.1499161912931699,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2027,0.1,yy_ca_mi_net_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2024,2.659242210388597,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2025,2.959242210388598,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2026,3.159242210388597,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2027,3.1,yy_ca_xi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2024,-2.936457332,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2025,-3.136457332,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2026,-3.336457332,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2027,-3.3,yy_ca_mi2_ratio_gdp_res,
yy_xg_fob_usd,2026,1.8,yy_xg_fob_usd_res,pct
yy_mg_cif_usd,2026,2.5,yy_mg_cif_usd_res,pct
yy_wkr_usd,2024,0.0006,yy_wkr_usd_res,
yy_wkr_usd,2025,0.0004,yy_wkr_usd_res,
yy_wkr_usd,2026,0.0004,yy_wkr_usd_res,
yy_wkr_usd,2027,0,yy_wkr_usd_res,
