NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_fdi_in_ratio_gdp,2025,1.5,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2026,1.383541147,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2027,1.4,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2028,1.5,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2029,1.5,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2030,1.6,yy_fdi_in_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2025,0,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2026,0,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2027,0,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2028,0,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2029,0,yy_fpi_out_ratio_gdp_res,
yy_reserves_fx_usd,2024,7.892802273,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2025,8.2,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2026,8,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2027,8.3,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2028,8.2,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2029,8.3,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2030,8.5,yy_reserves_fx_usd_res,
yy_reserves_gold_usd,2024,0.28,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2025,0.28,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2026,0.28,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2027,0.28,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2028,0.28,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2029,0.28,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2030,0.3,yy_reserves_gold_usd_res,
yy_cbfa_l_usd,2025,0.001,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2026,-0.003,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2027,-0.005,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2028,-0.005,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2029,-0.005,yy_cbfa_l_usd_res,
yy_cbfl_b_usd,2025,8.88E-16,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2026,-8.88E-16,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2027,0,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2028,8.88E-16,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2029,-8.88E-16,yy_cbfl_b_usd_res,
yy_fpi_in_ratio_gdp,2025,-2,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2026,-1.7,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2027,-2,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2028,-2,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2029,-2.1,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2030,-2,yy_fpi_in_ratio_gdp_res,
