NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
rp,2029-Q4,12.0,rp_res,annual
rp,2025-Q3,42.2,rp_res,
rp,2025-Q4,38.2,rp_res,
rp,2026-Q1,30,rp_res,
rp,2026-Q2,25,rp_res,
rp,2026-Q3,20,rp_res,
rp,2026-Q4,16,rp_res,
rp,2027-Q1,14.8,rp_res,
rp,2027-Q2,13.41,rp_res,
rp,2027-Q3,12.29,rp_res,
rp,2027-Q4,11.46,rp_res,
rp,2028-Q1,10,rp_res,
rp,2028-Q2,10,rp_res,
rp,2028-Q3,11,rp_res,
rp,2028-Q4,12.5,rp_res,
rp,2030-Q4,11,rp_res,annual
r3m,2027-Q4,16.7,r3m_res,
r3m,2028-Q4,15.94611887075752,r3m_res,annual
r3m,2029-Q4,14.69611887075752,r3m_res,annual
r3m,2025-Q3,34.62,r3m_res,
r3m,2025-Q4,31.77,r3m_res,
r3m,2026-Q1,29.93,r3m_res,
r3m,2026-Q2,27.93,r3m_res,
r3m,2026-Q3,25.77,r3m_res,
r3m,2026-Q4,23.45,r3m_res,
r3m,2027-Q1,21,r3m_res,
r3m,2027-Q2,19,r3m_res,
r3m,2027-Q3,17.6,r3m_res,
r3m,2030-Q4,14,r3m_res,annual
r10y,2027-Q4,12.3,r10y_res,
r10y,2028-Q4,12.0,r10y_res,annual
r10y,2029-Q4,12.0,r10y_res,annual
r10y,2025-Q3,28.64,r10y_res,
r10y,2026-Q1,18.78,r10y_res,
r10y,2025-Q4,24.72,r10y_res,
r10y,2026-Q2,14.49,r10y_res,
r10y,2026-Q3,11.86,r10y_res,
r10y,2026-Q4,10.87,r10y_res,
r10y,2027-Q1,11.5,r10y_res,
r10y,2027-Q2,12,r10y_res,
r10y,2027-Q3,12.2,r10y_res,
r10y,2030-Q4,11,r10y_res,annual
rl,2027-Q4,20.0,rl_res,annual
rl,2028-Q4,20.0,rl_res,annual
rl,2029-Q4,20.0,rl_res,annual
rl,2025-Q3,58.2,rl_res,
rl,2025-Q4,53.7,rl_res,
rl,2026-Q1,48.5,rl_res,
rl,2026-Q2,42.5,rl_res,
rl,2026-Q3,38.8,rl_res,
rl,2026-Q4,36.3,rl_res,
rl,2027-Q1,26.9,rl_res,
rl,2027-Q2,20.3,rl_res,
rl,2030-Q4,16,rl_res,annual
rd,2027-Q4,16.0,rd_res,annual
rd,2028-Q4,18.0,rd_res,annual
rd,2029-Q4,15.0,rd_res,annual
rd,2025-Q3,55.8,rd_res,
rd,2025-Q4,53,rd_res,
rd,2026-Q1,50.5,rd_res,
rd,2026-Q3,42.8,rd_res,
rd,2026-Q4,39.8,rd_res,
rd,2026-Q2,46,rd_res,
rd,2027-Q1,25.6,rd_res,
rd,2027-Q2,16.1,rd_res,
rd,2030-Q4,14,rd_res,annual
