NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_sdc,2025,16.50428268947812,yy_sdc_res,pct
yy_sdc,2026,35.89536859131866,yy_sdc_res,pct
yy_sdc,2027,40.8,yy_sdc_res,pct
yy_sdc,2028,29.2,yy_sdc_res,pct
yy_sdc,2029,17.3,yy_sdc_res,pct
yy_sdc,2030,11.4,yy_sdc_res,pct
yy_mss,2025,37.1,yy_mss_res,pct
yy_mss,2026,25.9,yy_mss_res,pct
yy_mss,2027,33,yy_mss_res,pct
yy_mss,2028,38.8,yy_mss_res,pct
yy_mss,2029,21.5,yy_mss_res,pct
yy_mss,2030,20,yy_mss_res,pct
yy_mst,2025,37,yy_mst_res,pct
yy_mst,2026,30.8,yy_mst_res,pct
yy_mst,2027,35.2,yy_mst_res,pct
yy_mst,2028,39.7,yy_mst_res,pct
yy_mst,2029,21.91,yy_mst_res,pct
yy_mst,2030,21.1,yy_mst_res,pct
