NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_fdi_in_ratio_gdp,2025,1.2072,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2026,0.848787,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2027,0.631436,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2028,0.64029,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2029,0.858116,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2030,0.6,yy_fdi_in_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2025,-2.26448,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2026,-2.58667,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2027,-3.26667,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2028,-1.2811,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2029,-1.45426,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2030,-2.2,yy_fdi_out_ratio_gdp_res,
yy_fdi_in_stock_usd,2025,163.76,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2026,171.256,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2027,177.075,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2028,183.178,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2029,192.032,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2030,180.1,yy_fdi_in_stock_usd_res,
yy_fdi_out_stock_usd,2025,535.218,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2026,558.062,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2027,588.166,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2028,600.377,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2029,615.382,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2030,629.1,yy_fdi_out_stock_usd_res,
yy_fpi_in_ratio_gdp,2025,0.673076,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2026,0.754125,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2027,0.74136,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2028,0.379369,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2029,0.602154,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2030,0.6,yy_fpi_in_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2025,-6.86423,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2026,-6.33511,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2027,-4.78227,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2028,-3.56361,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2029,-3.56088,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2030,-4.2,yy_fpi_out_ratio_gdp_res,
yy_reserves_fx_usd,2024,576.677,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2025,601.3,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2026,607.21,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2027,622.9,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2028,670.999,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2029,689,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2030,704,yy_reserves_fx_usd_res,
yy_reserves_gold_usd,2024,4.7341,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2025,4,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2026,4,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2027,4,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2028,4,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2029,4,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2030,4,yy_reserves_gold_usd_res,
yy_cbfa_l_usd,2025,10,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2026,10,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2027,10,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2028,10,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2029,10,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2030,10,yy_cbfa_l_usd_res,
yy_cbfl_b_usd,2025,-1,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2026,-1,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2027,-2,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2028,-2,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2029,-2,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2030,-2,yy_cbfl_b_usd_res,
