NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_cpi,2025,13.2,yy_cpi_res,pct
yy_cpi,2026,7.5,yy_cpi_res,pct
yy_cpi,2027,5.3,yy_cpi_res,pct
yy_cpi,2028,5.9,yy_cpi_res,pct
yy_cpi,2029,5.2,yy_cpi_res,pct
yy_cpi,2030,5,yy_cpi_res,pct
yy_cpi,2031,5.4,yy_cpi_res,pct
yy_cpi,2050,5,yy_cpi_res,pct
yy_cpi,2032,5.5,yy_cpi_res,pct
yy_cpi,2033,5.5,yy_cpi_res,pct
yy_cpi,2034,5.5,yy_cpi_res,pct
yy_cpi,2035,5.4,yy_cpi_res,pct
yy_cpi,2036,5.3,yy_cpi_res,pct
yy_cpi,2037,5.2,yy_cpi_res,pct
yy_cpi,2038,5.1,yy_cpi_res,pct
yy_cpi,2039,5.1,yy_cpi_res,pct
yy_cpi,2040,5,yy_cpi_res,pct
yy_cpi,2041,5,yy_cpi_res,pct
yy_cpi,2042,5,yy_cpi_res,pct
yy_cpi,2043,5,yy_cpi_res,pct
yy_cpi,2044,5,yy_cpi_res,pct
yy_cpi,2045,5,yy_cpi_res,pct
yy_cpi,2046,5,yy_cpi_res,pct
yy_cpi,2047,5,yy_cpi_res,pct
yy_cpi,2048,5,yy_cpi_res,pct
yy_cpi,2049,5,yy_cpi_res,pct
yy_ppi,2025,25,yy_ppi_res,pct
yy_ppi,2026,9.1,yy_ppi_res,pct
yy_ppi,2027,2.3,yy_ppi_res,pct
yy_ppi,2028,5.4,yy_ppi_res,pct
yy_ppi,2029,4.7,yy_ppi_res,pct
yy_ppi,2030,4.5,yy_ppi_res,pct
yy_ppi,2031,5,yy_ppi_res,pct
yy_ppi,2032,5.9,yy_ppi_res,pct
yy_ppi,2033,6.7,yy_ppi_res,pct
yy_ppi,2034,7,yy_ppi_res,pct
yy_pce_r,2025,3,yy_pce_r_res,pct
yy_pce_r,2026,2.4,yy_pce_r_res,pct
yy_pce_r,2027,2.8,yy_pce_r_res,pct
yy_pce_r,2028,3.754797186,yy_pce_r_res,pct
yy_pce_r,2029,3.257663561,yy_pce_r_res,pct
yy_pce_r,2030,3.2,yy_pce_r_res,pct
yy_pce_r,2031,3.3,yy_pce_r_res,pct
yy_pce_r,2032,3.4,yy_pce_r_res,pct
yy_pce_r,2033,3.4,yy_pce_r_res,pct
yy_pce_r,2040,3.1,yy_pce_r_res,pct
yy_gce_r,2025,3.2,yy_gce_r_res,pct
yy_gce_r,2026,3.5,yy_gce_r_res,pct
yy_gce_r,2027,2.6,yy_gce_r_res,pct
yy_gce_r,2028,-1.4,yy_gce_r_res,pct
yy_gce_r,2029,0.3,yy_gce_r_res,pct
yy_gce_r,2030,1.5,yy_gce_r_res,pct
yy_gce_r,2031,2,yy_gce_r_res,pct
yy_gce_r,2032,2.5,yy_gce_r_res,pct
yy_gce_r,2033,2.5,yy_gce_r_res,pct
yy_gce_r,2034,2.3,yy_gce_r_res,pct
yy_gce_r,2035,2.3,yy_gce_r_res,pct
yy_gce_r,2036,2.2,yy_gce_r_res,pct
yy_gce_r,2037,2.2,yy_gce_r_res,pct
yy_gce_r,2038,2.1,yy_gce_r_res,pct
yy_gce_r,2039,2,yy_gce_r_res,pct
yy_gce_r,2040,2,yy_gce_r_res,pct
yy_gce_r,2041,2,yy_gce_r_res,pct
yy_gce_r,2042,2,yy_gce_r_res,pct
yy_gce_r,2043,2,yy_gce_r_res,pct
yy_gce_r,2044,2,yy_gce_r_res,pct
yy_gce_r,2046,1.9,yy_gce_r_res,pct
yy_gce_r,2047,1.9,yy_gce_r_res,pct
yy_gce_r,2048,2,yy_gce_r_res,pct
yy_gce_r,2049,2.2,yy_gce_r_res,pct
yy_gce_r,2050,2.3,yy_gce_r_res,pct
yy_gce_r,2045,1.9,yy_gce_r_res,pct
yy_gfcf_r,2025,14.4,yy_gfcf_r_res,pct
yy_gfcf_r,2026,9.1,yy_gfcf_r_res,pct
yy_gfcf_r,2027,12.2,yy_gfcf_r_res,pct
yy_gfcf_r,2028,9.8,yy_gfcf_r_res,pct
yy_gfcf_r,2029,5.4,yy_gfcf_r_res,pct
yy_gfcf_r,2030,5,yy_gfcf_r_res,pct
yy_gfcf_r,2032,5.2,yy_gfcf_r_res,pct
yy_gfcf_r,2033,5,yy_gfcf_r_res,pct
yy_gfcf_r,2034,4.5,yy_gfcf_r_res,pct
yy_gfcf_r,2035,4.1,yy_gfcf_r_res,pct
yy_gfcf_r,2036,4,yy_gfcf_r_res,pct
yy_gfcf_r,2037,4,yy_gfcf_r_res,pct
yy_gfcf_r,2038,4,yy_gfcf_r_res,pct
yy_gfcf_r,2039,3.9,yy_gfcf_r_res,pct
yy_gfcf_r,2040,3.8,yy_gfcf_r_res,pct
yy_gfcf_r,2041,3.9,yy_gfcf_r_res,pct
