NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_brel_ratio_gdp,2025,40.8,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2026,41,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2027,41.2,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2028,40.5,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2029,40,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2030,40,yy_brel_ratio_gdp_res,
yy_bexl_ratio_gdp,2025,61.1,yy_bexl_ratio_gdp_res,
yy_bexl_ratio_gdp,2026,59.7,yy_bexl_ratio_gdp_res,
yy_bexl_ratio_gdp,2027,57,yy_bexl_ratio_gdp_res,
yy_bexl_ratio_gdp,2028,51.1,yy_bexl_ratio_gdp_res,
yy_bexl_ratio_gdp,2029,48.1,yy_bexl_ratio_gdp_res,
yy_bexl_ratio_gdp,2030,46.1,yy_bexl_ratio_gdp_res,
yy_pudl_reval,2028,-1,yy_pudl_reval_res,
yy_pudl_reval,2026,-2,yy_pudl_reval_res,
yy_pudl_reval,2027,-2.4,yy_pudl_reval_res,
yy_pudl_reval,2029,-2,yy_pudl_reval_res,
yy_pudl_reval,2030,-1,yy_pudl_reval_res,
yy_pudl_reval,2025,0.7,yy_pudl_reval_res,
