NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_agri_r_ratio_gdpp_r,2025,12,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2026,12.1,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2027,12.5,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2028,12.7,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2029,12.7,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2030,12.6,yy_agri_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2025,22.2,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2026,21.6622334485765000000,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2027,21.7145579845091000000,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2028,21.8,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2029,21.7982270831495000000,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2030,21.78,yy_ind_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2025,65.1319367107877000000,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2026,65.2,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2027,65.5882491980906000000,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2028,65.6737110300092000000,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2029,65.7888939098490000000,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2030,66,yy_serv_r_ratio_gdpp_r_res,
yy_man_r_ratio_ind_r,2025,46.8,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2026,46.8,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2027,44.8,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2028,44,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2029,44,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2030,44.3,yy_man_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2025,28.9,yy_min_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2026,29,yy_min_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2027,29.2,yy_min_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2028,29.5,yy_min_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2029,29.6,yy_min_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2030,29.9,yy_min_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2025,8.7,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2026,8.7,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2027,10.9,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2028,11.5,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2029,11.2,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2030,10.3,yy_cons_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2025,15.6,yy_util_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2026,15.5,yy_util_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2027,15.1,yy_util_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2028,15,yy_util_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2029,15.2,yy_util_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2030,15.5,yy_util_r_ratio_ind_r_res,
yy_pas_r_ratio_serv_r,2025,20.9771230295068000000,yy_pas_r_ratio_serv_r_res,
yy_pas_r_ratio_serv_r,2026,20.9594647600058000000,yy_pas_r_ratio_serv_r_res,
yy_pas_r_ratio_serv_r,2027,20.9287056867692000000,yy_pas_r_ratio_serv_r_res,
yy_pas_r_ratio_serv_r,2028,20.9599132580648000000,yy_pas_r_ratio_serv_r_res,
yy_pas_r_ratio_serv_r,2029,20.9442976026311000000,yy_pas_r_ratio_serv_r_res,
yy_pas_r_ratio_serv_r,2030,20.8,yy_pas_r_ratio_serv_r_res,
yy_fin_r_ratio_serv_r,2025,6.1,yy_fin_r_ratio_serv_r_res,
yy_fin_r_ratio_serv_r,2026,6.3,yy_fin_r_ratio_serv_r_res,
