NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_ca_xgs_usd,2025,11.5,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2026,-0.5,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2027,8.58608357,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2028,12.24167581,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2029,10.9,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2030,4,yy_ca_xgs_usd_res,pct
yy_ca_xg_ratio_ca_xgs,2025,79,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2026,75.26584958,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2027,74.57588003,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2028,74.83585276,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2029,72,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2030,72.3,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_mgs_usd,2025,5,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2026,1.5,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2027,4.5,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2028,2.8,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2029,1,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2030,1.2,yy_ca_mgs_usd_res,pct
yy_ca_mg_ratio_ca_mgs,2025,70,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2026,69,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2027,70,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2028,73,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2029,72,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2030,71,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_xi_ratio_gdp,2025,0.122152299,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2026,0.133583673,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2027,0.134170385,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2028,0.137369436,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2029,0.127852982,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2030,0.1,yy_ca_xi_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2025,-1.425352827,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2026,-1.336680233,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2027,-2.2,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2028,-2.877277243,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2029,-3.2,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2030,-3.7,yy_ca_mi_net_ratio_gdp_res,
