NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
cpi,2025-Q4,1.1,cpi_res,pct
cpi,2026-Q1,0.8,cpi_res,pct
cpi,2026-Q2,0.6,cpi_res,pct
cpi,2026-Q3,0.5,cpi_res,pct
cpi,2026-Q4,0.5,cpi_res,pct
cpi,2027-Q4,2.1,cpi_res,annual_pct
cpi,2028-Q4,2.2,cpi_res,annual_pct
cpi,2029-Q4,2.2,cpi_res,annual_pct
cpi,2030-Q4,2.2,cpi_res,annual_pct
ppi,2025-Q3,1.2,ppi_res,pct
ppi,2025-Q4,0.7,ppi_res,pct
ppi,2026-Q1,0.5,ppi_res,pct
ppi,2026-Q2,0.4,ppi_res,pct
ppi,2026-Q3,0.3,ppi_res,pct
ppi,2026-Q4,0.5,ppi_res,pct
ppi,2027-Q4,2.3,ppi_res,annual_pct
ppi,2028-Q4,2.2,ppi_res,annual_pct
ppi,2029-Q4,2.1,ppi_res,annual_pct
ppi,2030-Q4,2.1,ppi_res,annual_pct
pce_r,2025-Q3,0.3,pce_r_res,pct
pce_r,2025-Q4,0.1,pce_r_res,pct
pce_r,2026-Q1,0.1,pce_r_res,pct
pce_r,2026-Q2,0.4,pce_r_res,pct
pce_r,2026-Q3,0.5,pce_r_res,pct
pce_r,2026-Q4,0.5,pce_r_res,pct
pce_r,2027-Q4,2.41,pce_r_res,annual_pct
pce_r,2028-Q4,2.35,pce_r_res,annual_pct
pce_r,2029-Q4,2.2387626,pce_r_res,annual_pct
pce_r,2030-Q4,2.4,pce_r_res,annual_pct
gce_r,2025-Q3,0,gce_r_res,pct
gce_r,2025-Q4,-0.3,gce_r_res,pct
gce_r,2026-Q1,0.1,gce_r_res,pct
gce_r,2026-Q2,0.2,gce_r_res,pct
gce_r,2026-Q3,0.2,gce_r_res,pct
gce_r,2026-Q4,0.2,gce_r_res,pct
gce_r,2027-Q4,0.5,gce_r_res,annual_pct
gce_r,2028-Q4,0.5,gce_r_res,annual_pct
gce_r,2029-Q4,1,gce_r_res,annual_pct
gce_r,2030-Q4,1.2,gce_r_res,annual_pct
gfcf_r,2025-Q3,0,gfcf_r_res,pct
gfcf_r,2025-Q4,0.3,gfcf_r_res,pct
gfcf_r,2026-Q1,0.7,gfcf_r_res,pct
gfcf_r,2026-Q2,1,gfcf_r_res,pct
gfcf_r,2026-Q3,1.1,gfcf_r_res,pct
gfcf_r,2026-Q4,0.9,gfcf_r_res,pct
gfcf_r,2027-Q4,2.5,gfcf_r_res,annual_pct
gfcf_r,2028-Q4,3.21875309,gfcf_r_res,annual_pct
gfcf_r,2029-Q4,3.21875309,gfcf_r_res,annual_pct
gfcf_r,2030-Q4,2.9,gfcf_r_res,annual_pct
stk_r,2025-Q3,-1.3,stk_r_res,
stk_r,2025-Q4,0,stk_r_res,
stk_r,2026-Q1,0,stk_r_res,
stk_r,2026-Q2,3.8,stk_r_res,
stk_r,2026-Q3,7.5,stk_r_res,
stk_r,2026-Q4,5,stk_r_res,
stk_r,2027-Q4,27,stk_r_res,annual
stk_r,2028-Q4,32,stk_r_res,annual
stk_r,2029-Q4,30,stk_r_res,annual
stk_r,2030-Q4,30,stk_r_res,annual
xg_r,2025-Q3,-0.7,xg_r_res,pct
xg_r,2025-Q4,0.5,xg_r_res,pct
xg_r,2026-Q1,0.4,xg_r_res,pct
xg_r,2026-Q2,0.5,xg_r_res,pct
xg_r,2026-Q3,0.5,xg_r_res,pct
xg_r,2026-Q4,0.3,xg_r_res,pct
xg_r,2027-Q4,2.3,xg_r_res,annual_pct
xg_r,2028-Q4,2.26361625,xg_r_res,annual_pct
xg_r,2029-Q4,2.2,xg_r_res,annual_pct
xg_r,2030-Q4,2,xg_r_res,annual_pct
xs_r,2025-Q3,-0.75,xs_r_res,pct
xs_r,2025-Q4,0.7,xs_r_res,pct
xs_r,2026-Q1,0.4,xs_r_res,pct
xs_r,2026-Q4,0.7,xs_r_res,pct
xs_r,2027-Q4,3,xs_r_res,annual_pct
xs_r,2028-Q4,2.5,xs_r_res,annual_pct
xs_r,2029-Q4,2.3,xs_r_res,annual_pct
xs_r,2030-Q4,2,xs_r_res,annual_pct
mg_r,2025-Q3,-1.2,mg_r_res,pct
mg_r,2025-Q4,1.5,mg_r_res,pct
mg_r,2026-Q1,0.5,mg_r_res,pct
mg_r,2026-Q2,0.6,mg_r_res,pct
mg_r,2026-Q3,0.6,mg_r_res,pct
mg_r,2026-Q4,0.2,mg_r_res,pct
mg_r,2027-Q4,2.2,mg_r_res,annual_pct
mg_r,2028-Q4,2.3,mg_r_res,annual_pct
mg_r,2029-Q4,2,mg_r_res,annual_pct
mg_r,2030-Q4,2,mg_r_res,annual_pct
ms_r,2025-Q3,-1.25,ms_r_res,pct
ms_r,2025-Q4,0.5,ms_r_res,pct
ms_r,2026-Q1,0.5,ms_r_res,pct
ms_r,2026-Q4,0.7,ms_r_res,annual_pct
ms_r,2027-Q4,1.62322879,ms_r_res,annual_pct
ms_r,2028-Q4,1.58894577,ms_r_res,annual_pct
ms_r,2029-Q4,1.58894577,ms_r_res,annual_pct
ms_r,2030-Q4,2,ms_r_res,annual_pct
gdp_r,2025-Q3,0.37177918,gdp_r_res,pct
gdp_r,2025-Q4,-0.042318071,gdp_r_res,pct
gdp_r,2026-Q1,0.184199672,gdp_r_res,pct
gdp_r,2026-Q2,0.526027972,gdp_r_res,pct
gdp_r,2026-Q3,0.614427506,gdp_r_res,pct
gdp_r,2026-Q4,0.516904592,gdp_r_res,pct
gdp_r,2027-Q1,0.533825307,gdp_r_res,pct
gdp_r,2027-Q2,0.544278973,gdp_r_res,pct
gdp_r,2027-Q3,0.554307514,gdp_r_res,pct
gdp_r,2027-Q4,0.56391524,gdp_r_res,pct
gdp_r,2028-Q4,2.25679353,gdp_r_res,annual_pct
gdp_r,2029-Q4,2.241696467,gdp_r_res,annual_pct
gdp_r,2030-Q4,2.300534038,gdp_r_res,annual_pct
partrate,2025-Q3,75.5,partrate_res,
partrate,2025-Q4,75.2,partrate_res,
partrate,2026-Q1,75,partrate_res,
partrate,2026-Q2,74.8,partrate_res,
partrate,2026-Q3,75.2,partrate_res,
partrate,2026-Q4,75.5,partrate_res,
partrate,2027-Q4,75.1774913,partrate_res,annual
partrate,2028-Q4,75.11768422,partrate_res,annual
partrate,2029-Q4,75.11768422,partrate_res,annual
urate,2025-Q3,4.3,urate_res,
urate,2025-Q4,4.4,urate_res,
urate,2026-Q1,4.5,urate_res,
urate,2026-Q2,4.6,urate_res,
urate,2026-Q3,4.8,urate_res,
urate,2026-Q4,4.8,urate_res,
urate,2027-Q4,4.7,urate_res,annual
urate,2028-Q4,4.5,urate_res,annual
urate,2029-Q4,4.4,urate_res,annual
urate,2030-Q4,4,urate_res,annual
