NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
partrate,2024-Q4,76.042425,partrate_res,annual
partrate,2025-Q4,76.042425,partrate_res,annual
partrate,2026-Q4,75.92114522,partrate_res,annual
partrate,2027-Q4,75.92114522,partrate_res,annual
partrate,2028-Q4,75.92114522,partrate_res,annual
urate,2024-Q4,4.1,urate_res,annual
urate,2025-Q4,4,urate_res,annual
urate,2026-Q4,3.8,urate_res,annual
urate,2027-Q4,3.6,urate_res,annual
urate,2028-Q4,3.7,urate_res,annual
wage_r,2024-Q4,0.4,wage_r_res,annual_pct
wage_r,2025-Q4,0.4,wage_r_res,annual_pct
wage_r,2026-Q4,0.6,wage_r_res,annual_pct
wage_r,2027-Q4,0.6,wage_r_res,annual_pct
wage_r,2028-Q4,0.7,wage_r_res,annual_pct
lcph,2024-Q4,2.9,lcph_res,annual_pct
lcph,2025-Q4,2.5,lcph_res,annual_pct
lcph,2026-Q4,2.9,lcph_res,annual_pct
lcph,2027-Q4,3,lcph_res,annual_pct
lcph,2028-Q4,3.1,lcph_res,annual_pct
ulc,2023-Q4,6.585577173,ulc_res,pct
ulc,2024-Q4,1.6,ulc_res,annual_pct
ulc,2025-Q4,1.9,ulc_res,annual_pct
ulc,2026-Q4,1.7,ulc_res,annual_pct
ulc,2027-Q4,1.9,ulc_res,annual_pct
ulc,2028-Q4,1.7,ulc_res,annual_pct
