NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_cpi,2025,1.926567445,yy_cpi_res,pct
yy_cpi,2026,2.698987849,yy_cpi_res,pct
yy_pce_r,2023,9.931151734,yy_pce_r_res,pct
yy_pce_r,2024,4.805830446,yy_pce_r_res,pct
yy_pce_r,2025,6.381864719,yy_pce_r_res,pct
yy_pce_r,2026,4.253278693,yy_pce_r_res,pct
yy_gce_r,2023,-0.8,yy_gce_r_res,pct
yy_gce_r,2024,-0.8,yy_gce_r_res,pct
yy_gce_r,2025,1,yy_gce_r_res,pct
yy_gce_r,2026,1.5,yy_gce_r_res,pct
yy_gfcf_r,2023,2.1,yy_gfcf_r_res,pct
yy_gfcf_r,2024,2.1,yy_gfcf_r_res,pct
yy_gfcf_r,2025,6,yy_gfcf_r_res,pct
yy_gfcf_r,2026,3,yy_gfcf_r_res,pct
yy_stk_r,2023,0,yy_stk_r_res,
yy_stk_r,2024,0,yy_stk_r_res,
yy_stk_r,2025,0,yy_stk_r_res,
yy_stk_r,2026,0,yy_stk_r_res,
yy_xgs_r,2023,2.2475,yy_xgs_r_res,pct
yy_xgs_r,2024,5.531975477,yy_xgs_r_res,pct
yy_xgs_r,2025,4.284674036,yy_xgs_r_res,pct
yy_xgs_r,2026,5.459041638,yy_xgs_r_res,pct
yy_mgs_r,2023,5.101292892,yy_mgs_r_res,pct
yy_mgs_r,2024,3.717229207,yy_mgs_r_res,pct
yy_mgs_r,2025,6.911003008,yy_mgs_r_res,pct
yy_mgs_r,2026,4.548728276,yy_mgs_r_res,pct
yy_gdp_r,2025,4.5,yy_gdp_r_res,pct
yy_gdp_r,2026,3.8,yy_gdp_r_res,pct
yy_xr,2025,2.7,yy_xr_res,
yy_xr,2026,2.7,yy_xr_res,
