NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_coffee_cons_qt,2024,42.3,yy_coffee_cons_qt_res,
yy_coffee_cons_qt,2025,42.75,yy_coffee_cons_qt_res,
yy_coffee_cons_qt,2026,43.2,yy_coffee_cons_qt_res,
yy_coffee_cons_qt,2027,43.8,yy_coffee_cons_qt_res,
yy_coffee_cons_us,2024,28.5,yy_coffee_cons_us_res,
yy_coffee_cons_us,2025,28.8,yy_coffee_cons_us_res,
yy_coffee_cons_us,2026,28.5,yy_coffee_cons_us_res,
yy_coffee_cons_us,2027,28.7,yy_coffee_cons_us_res,
yy_coffee_cons_jp,2024,7.66,yy_coffee_cons_jp_res,
yy_coffee_cons_jp,2025,7.75,yy_coffee_cons_jp_res,
yy_coffee_cons_jp,2026,7.82,yy_coffee_cons_jp_res,
yy_coffee_cons_jp,2027,7.9,yy_coffee_cons_jp_res,
yy_coffee_cons_ru,2024,4.23,yy_coffee_cons_ru_res,
yy_coffee_cons_ru,2025,4.1,yy_coffee_cons_ru_res,
yy_coffee_cons_ru,2026,3.9,yy_coffee_cons_ru_res,
yy_coffee_cons_ru,2027,4,yy_coffee_cons_ru_res,
yy_coffee_cons_ca,2024,4.33,yy_coffee_cons_ca_res,
yy_coffee_cons_ca,2025,4.38,yy_coffee_cons_ca_res,
yy_coffee_cons_ca,2026,4.33,yy_coffee_cons_ca_res,
yy_coffee_cons_ca,2027,4.4,yy_coffee_cons_ca_res,
yy_coffee_cons_kr,2024,2.64,yy_coffee_cons_kr_res,
yy_coffee_cons_kr,2025,2.67,yy_coffee_cons_kr_res,
yy_coffee_cons_kr,2026,2.64,yy_coffee_cons_kr_res,
yy_coffee_cons_kr,2027,2.7,yy_coffee_cons_kr_res,
yy_coffee_cons_dz,2024,2.25,yy_coffee_cons_dz_res,
yy_coffee_cons_dz,2025,2.28,yy_coffee_cons_dz_res,
yy_coffee_cons_dz,2026,2.31,yy_coffee_cons_dz_res,
yy_coffee_cons_dz,2027,2.33,yy_coffee_cons_dz_res,
yy_coffee_cons_au,2024,2.09,yy_coffee_cons_au_res,
yy_coffee_cons_au,2025,2.13,yy_coffee_cons_au_res,
yy_coffee_cons_au,2026,2.16,yy_coffee_cons_au_res,
yy_coffee_cons_au,2027,2.2,yy_coffee_cons_au_res,
yy_coffee_cons_ch,2024,1.12,yy_coffee_cons_ch_res,
yy_coffee_cons_ch,2025,1.14,yy_coffee_cons_ch_res,
yy_coffee_cons_ch,2026,1.13,yy_coffee_cons_ch_res,
yy_coffee_cons_ch,2027,1.14,yy_coffee_cons_ch_res,
yy_coffee_cons_tr,2024,1.75,yy_coffee_cons_tr_res,
yy_coffee_cons_tr,2025,1.76,yy_coffee_cons_tr_res,
yy_coffee_cons_tr,2026,1.77,yy_coffee_cons_tr_res,
yy_coffee_cons_tr,2027,1.78,yy_coffee_cons_tr_res,
yy_coffee_cons_br,2024,23,yy_coffee_cons_br_res,
yy_coffee_cons_br,2025,22.8,yy_coffee_cons_br_res,
yy_coffee_cons_br,2026,22.7,yy_coffee_cons_br_res,
yy_coffee_cons_br,2027,23,yy_coffee_cons_br_res,
yy_coffee_cons_id,2024,6,yy_coffee_cons_id_res,
yy_coffee_cons_id,2025,5.9,yy_coffee_cons_id_res,
yy_coffee_cons_id,2026,5.8,yy_coffee_cons_id_res,
yy_coffee_cons_id,2027,5.9,yy_coffee_cons_id_res,
yy_coffee_cons_et,2024,3.84,yy_coffee_cons_et_res,
yy_coffee_cons_et,2025,3.87,yy_coffee_cons_et_res,
yy_coffee_cons_et,2026,3.87,yy_coffee_cons_et_res,
yy_coffee_cons_et,2027,3.91,yy_coffee_cons_et_res,
yy_coffee_cons_ph,2024,3.6,yy_coffee_cons_ph_res,
yy_coffee_cons_ph,2025,3.65,yy_coffee_cons_ph_res,
yy_coffee_cons_ph,2026,3.58,yy_coffee_cons_ph_res,
yy_coffee_cons_ph,2027,3.54,yy_coffee_cons_ph_res,
yy_coffee_cons_vn,2024,4.2,yy_coffee_cons_vn_res,
yy_coffee_cons_vn,2025,4.24,yy_coffee_cons_vn_res,
yy_coffee_cons_vn,2026,4.16,yy_coffee_cons_vn_res,
yy_coffee_cons_vn,2027,4.24,yy_coffee_cons_vn_res,
yy_coffee_cons_cn,2024,3.3,yy_coffee_cons_cn_res,
yy_coffee_cons_cn,2025,3.39,yy_coffee_cons_cn_res,
yy_coffee_cons_cn,2026,3.43,yy_coffee_cons_cn_res,
yy_coffee_cons_cn,2027,3.5,yy_coffee_cons_cn_res,
yy_coffee_cons_mx,2024,2.47,yy_coffee_cons_mx_res,
yy_coffee_cons_mx,2025,2.47,yy_coffee_cons_mx_res,
yy_coffee_cons_mx,2026,2.45,yy_coffee_cons_mx_res,
yy_coffee_cons_mx,2027,2.47,yy_coffee_cons_mx_res,
yy_coffee_cons_co,2024,2.25,yy_coffee_cons_co_res,
yy_coffee_cons_co,2025,2.28,yy_coffee_cons_co_res,
yy_coffee_cons_co,2026,2.24,yy_coffee_cons_co_res,
yy_coffee_cons_co,2027,2.26,yy_coffee_cons_co_res,
yy_coffee_cons_in,2024,1.69,yy_coffee_cons_in_res,
yy_coffee_cons_in,2025,1.77,yy_coffee_cons_in_res,
yy_coffee_cons_in,2026,1.82,yy_coffee_cons_in_res,
yy_coffee_cons_in,2027,1.89,yy_coffee_cons_in_res,
yy_coffee_cons_oth_im,2024,27,yy_coffee_cons_oth_im_res,
yy_coffee_cons_oth_im,2025,26.5,yy_coffee_cons_oth_im_res,
yy_coffee_cons_oth_im,2026,26.2,yy_coffee_cons_oth_im_res,
yy_coffee_cons_oth_im,2027,26.5,yy_coffee_cons_oth_im_res,
yy_coffee_cons_oth_ex,2024,6.24,yy_coffee_cons_oth_ex_res,
yy_coffee_cons_oth_ex,2025,5.9,yy_coffee_cons_oth_ex_res,
yy_coffee_cons_oth_ex,2026,5.4,yy_coffee_cons_oth_ex_res,
yy_coffee_cons_oth_ex,2027,5.6,yy_coffee_cons_oth_ex_res,
yy_coffee_prod_br,2024,56,yy_coffee_prod_br_res,
yy_coffee_prod_br,2025,59,yy_coffee_prod_br_res,
yy_coffee_prod_br,2026,56.5,yy_coffee_prod_br_res,
yy_coffee_prod_br,2027,60,yy_coffee_prod_br_res,
yy_coffee_prod_vn,2024,23.5,yy_coffee_prod_vn_res,
yy_coffee_prod_vn,2025,21.5,yy_coffee_prod_vn_res,
yy_coffee_prod_vn,2026,22.8,yy_coffee_prod_vn_res,
yy_coffee_prod_vn,2027,23.4,yy_coffee_prod_vn_res,
yy_coffee_prod_xd,2024,18,yy_coffee_prod_xd_res,
yy_coffee_prod_xd,2025,17.7,yy_coffee_prod_xd_res,
yy_coffee_prod_xd,2026,18.4,yy_coffee_prod_xd_res,
yy_coffee_prod_xd,2027,18.75,yy_coffee_prod_xd_res,
yy_coffee_prod_co,2024,12,yy_coffee_prod_co_res,
yy_coffee_prod_co,2025,11.8,yy_coffee_prod_co_res,
yy_coffee_prod_co,2026,12.5,yy_coffee_prod_co_res,
yy_coffee_prod_co,2027,13,yy_coffee_prod_co_res,
yy_coffee_prod_id,2024,9.3,yy_coffee_prod_id_res,
yy_coffee_prod_id,2025,9.6,yy_coffee_prod_id_res,
yy_coffee_prod_id,2026,10,yy_coffee_prod_id_res,
yy_coffee_prod_id,2027,10.5,yy_coffee_prod_id_res,
yy_coffee_prod_et,2024,7.7,yy_coffee_prod_et_res,
yy_coffee_prod_et,2025,7.6,yy_coffee_prod_et_res,
yy_coffee_prod_et,2026,7.8,yy_coffee_prod_et_res,
yy_coffee_prod_et,2027,8,yy_coffee_prod_et_res,
yy_coffee_prod_in,2024,6,yy_coffee_prod_in_res,
yy_coffee_prod_in,2025,5.8,yy_coffee_prod_in_res,
yy_coffee_prod_in,2026,6,yy_coffee_prod_in_res,
yy_coffee_prod_in,2027,6.2,yy_coffee_prod_in_res,
yy_coffee_prod_ug,2024,6,yy_coffee_prod_ug_res,
yy_coffee_prod_ug,2025,5.8,yy_coffee_prod_ug_res,
yy_coffee_prod_ug,2026,6,yy_coffee_prod_ug_res,
yy_coffee_prod_ug,2027,6.2,yy_coffee_prod_ug_res,
yy_coffee_prod_pe,2024,3.9,yy_coffee_prod_pe_res,
yy_coffee_prod_pe,2025,3.9,yy_coffee_prod_pe_res,
yy_coffee_prod_pe,2026,4,yy_coffee_prod_pe_res,
yy_coffee_prod_pe,2027,4.2,yy_coffee_prod_pe_res,
yy_coffee_prod_cn,2024,1.9,yy_coffee_prod_cn_res,
yy_coffee_prod_cn,2025,1.9,yy_coffee_prod_cn_res,
yy_coffee_prod_cn,2026,2,yy_coffee_prod_cn_res,
yy_coffee_prod_cn,2027,2.1,yy_coffee_prod_cn_res,
yy_coffee_prod_ci,2024,2.7,yy_coffee_prod_ci_res,
yy_coffee_prod_ci,2025,2.5,yy_coffee_prod_ci_res,
yy_coffee_prod_ci,2026,2.6,yy_coffee_prod_ci_res,
yy_coffee_prod_ci,2027,2.7,yy_coffee_prod_ci_res,
