NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
rp,2025-Q4,1.83,rp_res,
rp,2026-Q1,1.75,rp_res,
rp,2026-Q2,1.75,rp_res,
rp,2026-Q3,1.75,rp_res,
rp,2026-Q4,1.75,rp_res,
rp,2027-Q1,1.75,rp_res,
rp,2027-Q2,1.75,rp_res,
rp,2027-Q3,1.75,rp_res,
rp,2027-Q4,1.75,rp_res,
rp,2028-Q4,1.75,rp_res,annual
rp,2029-Q4,1.75,rp_res,annual
rp,2030-Q4,1.75,rp_res,annual
r3m,2025-Q4,1.7,r3m_res,
r3m,2026-Q1,1.7,r3m_res,
r3m,2026-Q2,1.7,r3m_res,
r3m,2026-Q3,1.7,r3m_res,
r3m,2026-Q4,1.7,r3m_res,
r3m,2027-Q1,1.7,r3m_res,
r3m,2027-Q2,1.7,r3m_res,
r3m,2027-Q3,1.7,r3m_res,
r3m,2027-Q4,1.7,r3m_res,
r3m,2028-Q4,1.7,r3m_res,annual
r3m,2029-Q4,1.7,r3m_res,annual
r3m,2030-Q4,1.7,r3m_res,annual
