NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_xr_e,2025,101.9064347826087,yy_xr_e_res,
yy_xr_e,2026,104.1711263933486,yy_xr_e_res,
yy_xr_e,2027,106.538758531956,yy_xr_e_res,
yy_xr_e,2028,106.538865070821,yy_xr_e_res,
yy_xr_e,2029,106.432539070722,yy_xr_e_res,
yy_r3m_e,2025,3.375,yy_r3m_e_res,
yy_r3m_e,2026,2.9,yy_r3m_e_res,
yy_r3m_e,2027,2.7,yy_r3m_e_res,
yy_r3m_e,2028,2.55,yy_r3m_e_res,
yy_r3m_e,2029,2.5,yy_r3m_e_res,
yy_cpi_e,2025,3.040315828935247,yy_cpi_e_res,pct
yy_cpi_e,2026,2.937786722942937,yy_cpi_e_res,pct
yy_cpi_e,2027,2.938196425576689,yy_cpi_e_res,pct
yy_cpi_e,2028,2.528288327922623,yy_cpi_e_res,pct
yy_cpi_e,2029,2.528186208520355,yy_cpi_e_res,pct
