NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_ca_xg_usd,2024,7.3,yy_ca_xg_usd_res,pct
yy_ca_xg_usd,2025,4.5,yy_ca_xg_usd_res,pct
yy_ca_xg_usd,2026,11.3,yy_ca_xg_usd_res,pct
yy_ca_xg_usd,2027,10.7,yy_ca_xg_usd_res,pct
yy_ca_xg_usd,2028,6.1,yy_ca_xg_usd_res,pct
yy_ca_xg_usd,2029,7.7,yy_ca_xg_usd_res,pct
yy_ca_mg_usd,2024,10.5,yy_ca_mg_usd_res,pct
yy_ca_mg_usd,2025,3.3,yy_ca_mg_usd_res,pct
yy_ca_mg_usd,2026,4.1,yy_ca_mg_usd_res,pct
yy_ca_mg_usd,2027,4.4,yy_ca_mg_usd_res,pct
yy_ca_mg_usd,2028,4.6,yy_ca_mg_usd_res,pct
yy_ca_mg_usd,2029,4.8,yy_ca_mg_usd_res,pct
yy_ca_xs_usd,2024,1,yy_ca_xs_usd_res,pct
yy_ca_xs_usd,2025,1.2,yy_ca_xs_usd_res,pct
yy_ca_xs_usd,2026,6,yy_ca_xs_usd_res,pct
yy_ca_xs_usd,2027,4.4,yy_ca_xs_usd_res,pct
yy_ca_xs_usd,2028,5,yy_ca_xs_usd_res,pct
yy_ca_xs_usd,2029,5,yy_ca_xs_usd_res,pct
yy_ca_ms_usd,2024,-4.771044028,yy_ca_ms_usd_res,pct
yy_ca_ms_usd,2025,8.614420272,yy_ca_ms_usd_res,pct
yy_ca_ms_usd,2026,11.92057525,yy_ca_ms_usd_res,pct
yy_ca_ms_usd,2027,6.190861406,yy_ca_ms_usd_res,pct
yy_ca_ms_usd,2028,2.35230698,yy_ca_ms_usd_res,pct
yy_ca_ms_usd,2029,14.52061293,yy_ca_ms_usd_res,pct
yy_ca_xi_ratio_gdp,2024,0.253060475,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2025,0.266189704,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2026,0.231253727,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2027,0.20718541,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2028,0.187569686,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2029,0.158978162,yy_ca_xi_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2024,-3.019385265,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2025,-2.53636535,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2026,-2.275384008,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2027,-1.877853215,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2028,-1.52339485,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2029,-1.165507327,yy_ca_mi_net_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2024,3.582956736,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2025,2.485987736,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2026,0.885187288,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2027,0.774124889,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2028,0.67774669,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2029,0.563706412,yy_ca_xi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2024,-0.421565563,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2025,-0.404090612,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2026,-0.379399523,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2027,-0.336132871,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2028,-0.295335996,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2029,-0.246189597,yy_ca_mi2_ratio_gdp_res,
yy_xg_fob_usd,2025,5.279619064,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2026,13.25225617,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2027,10.46289945,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2028,10.29510329,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2029,11.37436066,yy_xg_fob_usd_res,pct
yy_mg_cif_usd,2025,3.25,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2026,5.1085,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2027,7.37375,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2028,8.0877,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2029,7.16475,yy_mg_cif_usd_res,pct
yy_xgpd1_ratio_xg_fob,2024,84.27621222,yy_xgpd1_ratio_xg_fob_res,
yy_xgpd1_ratio_xg_fob,2025,84.27621222,yy_xgpd1_ratio_xg_fob_res,
yy_xgpd1_ratio_xg_fob,2026,84.27621222,yy_xgpd1_ratio_xg_fob_res,
yy_xgpd1_ratio_xg_fob,2027,84.27621222,yy_xgpd1_ratio_xg_fob_res,
yy_xgpd1_ratio_xg_fob,2028,84.27621222,yy_xgpd1_ratio_xg_fob_res,
yy_xgpd1_ratio_xg_fob,2029,84.27621222,yy_xgpd1_ratio_xg_fob_res,
yy_xgpd2_ratio_xg_fob,2024,6.845692823,yy_xgpd2_ratio_xg_fob_res,
yy_xgpd2_ratio_xg_fob,2025,6.845692823,yy_xgpd2_ratio_xg_fob_res,
yy_xgpd2_ratio_xg_fob,2026,6.845692823,yy_xgpd2_ratio_xg_fob_res,
yy_xgpd2_ratio_xg_fob,2027,6.845692823,yy_xgpd2_ratio_xg_fob_res,
yy_xgpd2_ratio_xg_fob,2028,6.845692823,yy_xgpd2_ratio_xg_fob_res,
yy_xgpd2_ratio_xg_fob,2029,6.845692823,yy_xgpd2_ratio_xg_fob_res,
yy_mgpd1_ratio_mg_cif,2024,29.6,yy_mgpd1_ratio_mg_cif_res,
yy_mgpd1_ratio_mg_cif,2025,30,yy_mgpd1_ratio_mg_cif_res,
yy_mgpd1_ratio_mg_cif,2026,31,yy_mgpd1_ratio_mg_cif_res,
yy_mgpd1_ratio_mg_cif,2027,31,yy_mgpd1_ratio_mg_cif_res,
yy_mgpd1_ratio_mg_cif,2028,32,yy_mgpd1_ratio_mg_cif_res,
yy_mgpd1_ratio_mg_cif,2029,33,yy_mgpd1_ratio_mg_cif_res,
yy_mgpd2_ratio_mg_cif,2024,35.14160156,yy_mgpd2_ratio_mg_cif_res,
yy_mgpd2_ratio_mg_cif,2025,33.16450195,yy_mgpd2_ratio_mg_cif_res,
yy_mgpd2_ratio_mg_cif,2026,32.07750244,yy_mgpd2_ratio_mg_cif_res,
yy_mgpd2_ratio_mg_cif,2027,31.6242218,yy_mgpd2_ratio_mg_cif_res,
yy_mgpd2_ratio_mg_cif,2028,31.00195694,yy_mgpd2_ratio_mg_cif_res,
yy_mgpd2_ratio_mg_cif,2029,29.96704578,yy_mgpd2_ratio_mg_cif_res,
yy_mgpd3_ratio_mg_cif,2024,17.8,yy_mgpd3_ratio_mg_cif_res,
yy_mgpd3_ratio_mg_cif,2025,17.2,yy_mgpd3_ratio_mg_cif_res,
yy_mgpd3_ratio_mg_cif,2026,16.6,yy_mgpd3_ratio_mg_cif_res,
yy_mgpd3_ratio_mg_cif,2027,16,yy_mgpd3_ratio_mg_cif_res,
yy_mgpd3_ratio_mg_cif,2028,15.5,yy_mgpd3_ratio_mg_cif_res,
yy_mgpd3_ratio_mg_cif,2029,16.5,yy_mgpd3_ratio_mg_cif_res,
yy_mgpd4_ratio_mg_cif,2024,16,yy_mgpd4_ratio_mg_cif_res,
yy_mgpd4_ratio_mg_cif,2025,16.9,yy_mgpd4_ratio_mg_cif_res,
yy_mgpd4_ratio_mg_cif,2026,17.9,yy_mgpd4_ratio_mg_cif_res,
