NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_pce_p,2024,22.2,yy_pce_p_res,pct
yy_pce_p,2025,12.8,yy_pce_p_res,pct
yy_pce_p,2026,7.060618856,yy_pce_p_res,pct
yy_pce_p,2027,6.561408541,yy_pce_p_res,pct
yy_pce_p,2028,6.44,yy_pce_p_res,pct
yy_pce_p,2029,6.242973896,yy_pce_p_res,pct
yy_gce_p,2024,17,yy_gce_p_res,pct
yy_gce_p,2025,12.8,yy_gce_p_res,pct
yy_gce_p,2026,7.060618856,yy_gce_p_res,pct
yy_gce_p,2027,6.561408541,yy_gce_p_res,pct
yy_gce_p,2028,6.44,yy_gce_p_res,pct
yy_gce_p,2029,6.242973896,yy_gce_p_res,pct
yy_gfcf_p,2024,17,yy_gfcf_p_res,pct
yy_gfcf_p,2025,12.8,yy_gfcf_p_res,pct
yy_gfcf_p,2026,7.060618856,yy_gfcf_p_res,pct
yy_gfcf_p,2027,6.561408541,yy_gfcf_p_res,pct
yy_gfcf_p,2028,6.44,yy_gfcf_p_res,pct
yy_gfcf_p,2029,6.242973896,yy_gfcf_p_res,pct
yy_stk,2024,33.1,yy_stk_res,
yy_stk,2025,36.25577381,yy_stk_res,
yy_stk,2026,38.85291127,yy_stk_res,
yy_stk,2027,41.4386851,yy_stk_res,
yy_stk,2028,44.14635106,yy_stk_res,
yy_stk,2029,46.9439734,yy_stk_res,
yy_xgs,2024,40,yy_xgs_res,pct
yy_xgs,2025,9.815929134,yy_xgs_res,pct
yy_xgs,2026,5.945907451,yy_xgs_res,pct
yy_xgs,2027,4.595959996,yy_xgs_res,pct
yy_xgs,2028,4.185374713,yy_xgs_res,pct
yy_xgs,2029,-0.323100085,yy_xgs_res,pct
yy_mgs,2024,41.6,yy_mgs_res,pct
yy_mgs,2025,7.698857423,yy_mgs_res,pct
yy_mgs,2026,-1.672462962,yy_mgs_res,pct
yy_mgs,2027,1.670882401,yy_mgs_res,pct
yy_mgs,2028,2.100249152,yy_mgs_res,pct
yy_mgs,2029,-4.090582458,yy_mgs_res,pct
