NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_rp,2025,12.75,yy_rp_res,
yy_rp,2026,9,yy_rp_res,
yy_rp,2027,8.5,yy_rp_res,
yy_rp,2028,8.5,yy_rp_res,
yy_rp,2029,8.5,yy_rp_res,
yy_r3m,2021,12.9,yy_r3m_res,
yy_r3m,2022,9.5,yy_r3m_res,
yy_r3m,2023,12,yy_r3m_res,
yy_r3m,2024,15.5,yy_r3m_res,
yy_r3m,2025,13.75,yy_r3m_res,
yy_r3m,2026,11,yy_r3m_res,
yy_r3m,2027,10,yy_r3m_res,
yy_r3m,2028,9.5,yy_r3m_res,
yy_r3m,2029,8.5,yy_r3m_res,
yy_r10y,2025,23.5,yy_r10y_res,
yy_r10y,2026,22,yy_r10y_res,
yy_r10y,2027,20,yy_r10y_res,
yy_r10y,2028,19,yy_r10y_res,
yy_r10y,2029,20,yy_r10y_res,
yy_rl,2025,11,yy_rl_res,
yy_rl,2026,9,yy_rl_res,
yy_rl,2027,8.5,yy_rl_res,
yy_rl,2028,8.5,yy_rl_res,
yy_rl,2029,9.5,yy_rl_res,
yy_rd,2021,7.48,yy_rd_res,
yy_rd,2022,5.83,yy_rd_res,
yy_rd,2023,7.5,yy_rd_res,
yy_rd,2024,8,yy_rd_res,
yy_rd,2025,8,yy_rd_res,
yy_rd,2026,7.5,yy_rd_res,
yy_rd,2027,7.5,yy_rd_res,
yy_rd,2028,7.5,yy_rd_res,
yy_rd,2029,8.5,yy_rd_res,
