NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_brel_ratio_gdp,2024,13.7,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2025,14,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2026,14.2,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2027,14.33,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2028,14.6,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2029,15,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2030,15.2,yy_brel_ratio_gdp_res,
yy_bexl_ratio_gdp,2024,14.8,yy_bexl_ratio_gdp_res,
yy_bexl_ratio_gdp,2025,15,yy_bexl_ratio_gdp_res,
yy_bexl_ratio_gdp,2026,15.3,yy_bexl_ratio_gdp_res,
yy_bexl_ratio_gdp,2027,15.5,yy_bexl_ratio_gdp_res,
yy_bexl_ratio_gdp,2028,15.9,yy_bexl_ratio_gdp_res,
yy_bexl_ratio_gdp,2029,16.4,yy_bexl_ratio_gdp_res,
yy_bexl_ratio_gdp,2030,16.8,yy_bexl_ratio_gdp_res,
yy_pudl_reval,2024,-99.5150056805956,yy_pudl_reval_res,
yy_pudl_reval,2025,23.5,yy_pudl_reval_res,
yy_pudl_reval,2026,32,yy_pudl_reval_res,
yy_pudl_reval,2027,17,yy_pudl_reval_res,
yy_pudl_reval,2028,10.5,yy_pudl_reval_res,
yy_pudl_reval,2029,15,yy_pudl_reval_res,
yy_pudl_reval,2030,16,yy_pudl_reval_res,
